control,control_gain,feature_mode,fold,offset_seconds,offset_specific_gain,real_gain,target,threshold
ar,-0.02217906869905034,cortical_pca_64,grouped_0,-8.0,-0.03409148597093825,-0.05627055466998859,arousal__future_spike_1_3s,0.05
shuffled,-0.012984836876721417,cortical_pca_64,grouped_0,-8.0,-0.043285717793267176,-0.05627055466998859,arousal__future_spike_1_3s,0.05
random,-0.024856170519137466,cortical_pca_64,grouped_0,-8.0,-0.03141438415085113,-0.05627055466998859,arousal__future_spike_1_3s,0.05
timestamp,-0.1306952849862174,cortical_pca_64,grouped_0,-8.0,0.07442473031622882,-0.05627055466998859,arousal__future_spike_1_3s,0.05
video_time,-0.06468306101492433,cortical_pca_64,grouped_0,-8.0,0.008412506344935733,-0.05627055466998859,arousal__future_spike_1_3s,0.05
ar,-0.0035070149304220477,cortical_pca_64,grouped_0,-6.0,-0.02595321407242318,-0.02946022900284523,arousal__future_spike_1_3s,0.05
shuffled,0.002062981114231477,cortical_pca_64,grouped_0,-6.0,-0.031523210117076705,-0.02946022900284523,arousal__future_spike_1_3s,0.05
random,-0.007679598955546263,cortical_pca_64,grouped_0,-6.0,-0.021780630047298966,-0.02946022900284523,arousal__future_spike_1_3s,0.05
timestamp,-0.12567832848103133,cortical_pca_64,grouped_0,-6.0,0.0962180994781861,-0.02946022900284523,arousal__future_spike_1_3s,0.05
video_time,-0.06160863203662037,cortical_pca_64,grouped_0,-6.0,0.03214840303377514,-0.02946022900284523,arousal__future_spike_1_3s,0.05
ar,0.017681125375818285,cortical_pca_64,grouped_0,-4.0,-0.019102997905661223,-0.001421872529842938,arousal__future_spike_1_3s,0.05
shuffled,0.02868214265591701,cortical_pca_64,grouped_0,-4.0,-0.030104015185759947,-0.001421872529842938,arousal__future_spike_1_3s,0.05
random,0.011781596734418698,cortical_pca_64,grouped_0,-4.0,-0.013203469264261636,-0.001421872529842938,arousal__future_spike_1_3s,0.05
timestamp,-0.07916952549934902,cortical_pca_64,grouped_0,-4.0,0.07774765296950609,-0.001421872529842938,arousal__future_spike_1_3s,0.05
video_time,-0.0457181116230882,cortical_pca_64,grouped_0,-4.0,0.04429623909324526,-0.001421872529842938,arousal__future_spike_1_3s,0.05
ar,0.022184012376172513,cortical_pca_64,grouped_0,-3.0,-0.0035469712058626146,0.018637041170309898,arousal__future_spike_1_3s,0.05
shuffled,0.03085665185002867,cortical_pca_64,grouped_0,-3.0,-0.012219610679718773,0.018637041170309898,arousal__future_spike_1_3s,0.05
random,0.010989066273899672,cortical_pca_64,grouped_0,-3.0,0.007647974896410226,0.018637041170309898,arousal__future_spike_1_3s,0.05
timestamp,-0.04706634905464671,cortical_pca_64,grouped_0,-3.0,0.06570339022495661,0.018637041170309898,arousal__future_spike_1_3s,0.05
video_time,-0.037250020177717086,cortical_pca_64,grouped_0,-3.0,0.055887061348026984,0.018637041170309898,arousal__future_spike_1_3s,0.05
ar,0.022184012376172513,cortical_pca_64,grouped_0,-2.5,0.00895342147254985,0.031137433848722362,arousal__future_spike_1_3s,0.05
shuffled,0.021891411601453248,cortical_pca_64,grouped_0,-2.5,0.009246022247269114,0.031137433848722362,arousal__future_spike_1_3s,0.05
random,0.022390916075391454,cortical_pca_64,grouped_0,-2.5,0.008746517773330909,0.031137433848722362,arousal__future_spike_1_3s,0.05
timestamp,-0.04706634905464671,cortical_pca_64,grouped_0,-2.5,0.07820378290336907,0.031137433848722362,arousal__future_spike_1_3s,0.05
video_time,-0.037250020177717086,cortical_pca_64,grouped_0,-2.5,0.06838745402643945,0.031137433848722362,arousal__future_spike_1_3s,0.05
ar,0.02516900199588079,cortical_pca_64,grouped_0,-2.0,0.007902587416197648,0.03307158941207844,arousal__future_spike_1_3s,0.05
shuffled,0.03961724955739948,cortical_pca_64,grouped_0,-2.0,-0.006545660145321042,0.03307158941207844,arousal__future_spike_1_3s,0.05
random,0.03062251188207593,cortical_pca_64,grouped_0,-2.0,0.002449077530002508,0.03307158941207844,arousal__future_spike_1_3s,0.05
timestamp,-0.03693067577080278,cortical_pca_64,grouped_0,-2.0,0.07000226518288122,0.03307158941207844,arousal__future_spike_1_3s,0.05
video_time,-0.02874882360123282,cortical_pca_64,grouped_0,-2.0,0.06182041301331126,0.03307158941207844,arousal__future_spike_1_3s,0.05
