target_name,validation_protocol,fold,n_train,n_test,n_train_videos,n_test_videos
arousal_spike_rows_2_6_train_q90,grouped_video,1,186467,46622,796,199
arousal_spike_rows_2_6_train_q90,grouped_video,2,186470,46619,796,199
arousal_spike_rows_2_6_train_q90,grouped_video,3,186480,46609,796,199
arousal_spike_rows_2_6_train_q90,grouped_video,4,186452,46637,796,199
arousal_spike_rows_2_6_train_q90,grouped_video,5,186487,46602,796,199
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,162758,70331,995,995
arousal_delta_p2rows_train_q90,grouped_video,1,189793,47438,796,199
arousal_delta_p2rows_train_q90,grouped_video,2,189800,47431,796,199
arousal_delta_p2rows_train_q90,grouped_video,3,189781,47450,796,199
arousal_delta_p2rows_train_q90,grouped_video,4,189784,47447,796,199
arousal_delta_p2rows_train_q90,grouped_video,5,189766,47465,796,199
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,1,165783,71448,995,995
arousal_abs_delta_p4rows_train_q90,grouped_video,1,188154,47063,796,199
arousal_abs_delta_p4rows_train_q90,grouped_video,2,188182,47035,796,199
arousal_abs_delta_p4rows_train_q90,grouped_video,3,188189,47028,796,199
arousal_abs_delta_p4rows_train_q90,grouped_video,4,188170,47047,796,199
arousal_abs_delta_p4rows_train_q90,grouped_video,5,188173,47044,796,199
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,1,164112,71105,995,995
