actual_protocol,reported_protocol,fold,seed,variant_name,control_type,frozen_ar_train_checksum,frozen_ar_test_checksum,same_ar_as_reference
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_residual,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_residual,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_residual_permuted_inner_val_selection,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_fixed_epoch_audit,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,train_only_video_mean_pca_residual,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,full_video_video_mean_pca_residual_oracle_warning,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,diagnostics_only_residual,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260626,monotonic_do_no_harm_residual,real_residual,e4256a5d3664a875e1cf431b0dccf23f,8c7a555b24d19576e41d88cda28a8d24,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260626,monotonic_do_no_harm_residual,shuffled_pca_residual,e4256a5d3664a875e1cf431b0dccf23f,8c7a555b24d19576e41d88cda28a8d24,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260626,monotonic_do_no_harm_residual,random_pca_residual,e4256a5d3664a875e1cf431b0dccf23f,8c7a555b24d19576e41d88cda28a8d24,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260626,monotonic_do_no_harm_residual,label_permutation_residual_permuted_inner_val_selection,e4256a5d3664a875e1cf431b0dccf23f,8c7a555b24d19576e41d88cda28a8d24,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260626,monotonic_do_no_harm_residual,label_permutation_fixed_epoch_audit,e4256a5d3664a875e1cf431b0dccf23f,8c7a555b24d19576e41d88cda28a8d24,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260626,monotonic_do_no_harm_residual,train_only_video_mean_pca_residual,e4256a5d3664a875e1cf431b0dccf23f,8c7a555b24d19576e41d88cda28a8d24,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260626,monotonic_do_no_harm_residual,full_video_video_mean_pca_residual_oracle_warning,e4256a5d3664a875e1cf431b0dccf23f,8c7a555b24d19576e41d88cda28a8d24,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260626,monotonic_do_no_harm_residual,diagnostics_only_residual,e4256a5d3664a875e1cf431b0dccf23f,8c7a555b24d19576e41d88cda28a8d24,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260627,monotonic_do_no_harm_residual,real_residual,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260627,monotonic_do_no_harm_residual,shuffled_pca_residual,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260627,monotonic_do_no_harm_residual,random_pca_residual,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260627,monotonic_do_no_harm_residual,label_permutation_residual_permuted_inner_val_selection,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260627,monotonic_do_no_harm_residual,label_permutation_fixed_epoch_audit,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260627,monotonic_do_no_harm_residual,train_only_video_mean_pca_residual,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260627,monotonic_do_no_harm_residual,full_video_video_mean_pca_residual_oracle_warning,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260627,monotonic_do_no_harm_residual,diagnostics_only_residual,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260628,monotonic_do_no_harm_residual,real_residual,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260628,monotonic_do_no_harm_residual,shuffled_pca_residual,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
