seed,control_type,best_epoch,inner_val_selection_policy,training_label_policy,heldout_scoring_policy,best_inner_val_delta_vs_frozen_ar,true_frozen_ar_inner_val_pr_auc,pr_auc,delta_vs_frozen_ar_pr_auc,checkpoint_restored,residual_suppressed
20260625,label_permutation_fixed_epoch_audit,11.0,permuted_inner_val_labels,permuted_train_labels,true_heldout_labels,-1.848770011032841e-05,0.23207686254330967,0.2616461373694787,0.00015079545490864765,True,False
20260626,label_permutation_fixed_epoch_audit,7.0,permuted_inner_val_labels,permuted_train_labels,true_heldout_labels,-7.356579383985262e-06,0.23946808001740413,0.26851040844243734,0.0002976204216055267,True,False
20260627,label_permutation_fixed_epoch_audit,9.0,permuted_inner_val_labels,permuted_train_labels,true_heldout_labels,-4.615828468584882e-06,0.23870578179645122,0.2669992332487214,0.00029081721465656907,True,False
20260628,label_permutation_fixed_epoch_audit,9.0,permuted_inner_val_labels,permuted_train_labels,true_heldout_labels,-1.897522802621343e-06,0.23870578179645122,0.26700086261765926,0.0002924465835944523,True,False
20260629,label_permutation_fixed_epoch_audit,6.0,permuted_inner_val_labels,permuted_train_labels,true_heldout_labels,8.471996046394148e-06,0.23870578179645122,0.26702195160314873,0.00031353556908392255,True,False
20260625,label_permutation_residual_permuted_inner_val_selection,1.0,permuted_inner_val_labels,permuted_train_labels,true_heldout_labels,1.13033629799697e-05,0.23207686254330967,0.26168527405975767,0.00018993214518758794,True,False
20260626,label_permutation_residual_permuted_inner_val_selection,1.0,permuted_inner_val_labels,permuted_train_labels,true_heldout_labels,1.100051884905806e-05,0.23946808001740413,0.26856001993968287,0.0003472319188510542,True,False
20260627,label_permutation_residual_permuted_inner_val_selection,4.0,permuted_inner_val_labels,permuted_train_labels,true_heldout_labels,3.12310577061381e-05,0.23870578179645122,0.2669888756657552,0.00028045963169037735,True,False
20260628,label_permutation_residual_permuted_inner_val_selection,1.0,permuted_inner_val_labels,permuted_train_labels,true_heldout_labels,1.1351189424385622e-06,0.23870578179645122,0.2669992590957904,0.0002908430617256097,True,False
20260629,label_permutation_residual_permuted_inner_val_selection,0.0,permuted_inner_val_labels,permuted_train_labels,true_heldout_labels,0.0,0.23870578179645122,0.2667084160340648,0.0,False,True
