validation_protocol,fold,seed,variant_name,control_type,pr_auc,delta_vs_frozen_ar_pr_auc
blocked_temporal_70_30,1,20260625,blocked_delta_selected_gated_residual,frozen_ar_only,0.2614953419145701,0.0
blocked_temporal_70_30,1,20260625,blocked_delta_selected_gated_residual,real_residual,0.25557114256334534,-0.005924199351224735
blocked_temporal_70_30,1,20260625,blocked_delta_selected_gated_residual,shuffled_pca_residual,0.26168993169465304,0.00019458978008296546
blocked_temporal_70_30,1,20260625,blocked_delta_selected_gated_residual,random_pca_residual,0.2610162744961741,-0.0004790674183959842
blocked_temporal_70_30,1,20260625,blocked_delta_selected_gated_residual,diagnostics_only_residual,0.261702368263522,0.00020702634895192196
blocked_temporal_70_30,1,20260625,blocked_delta_selected_gated_residual,video_mean_pca_residual,0.2544179293958791,-0.007077412518690984
blocked_temporal_70_30,1,20260625,blocked_delta_selected_gated_residual,label_permutation_residual,0.26170322452381045,0.00020788260924037294
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,frozen_ar_only,0.2614953419145701,0.0
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,0.26171557269184464,0.00022023077727456597
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_residual,0.2616480974841333,0.00015275556956323433
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_residual,0.26164880143552594,0.00015345952095585647
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,diagnostics_only_residual,0.2617519014190497,0.0002565595044796143
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,video_mean_pca_residual,0.2617572840026622,0.0002619420880921042
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_residual,0.26165046681674,0.00015512490216990082
blocked_temporal_70_30,1,20260625,low_ar_confidence_residual,frozen_ar_only,0.2614953419145701,0.0
blocked_temporal_70_30,1,20260625,low_ar_confidence_residual,real_residual,0.25918085048600753,-0.0023144914285625484
blocked_temporal_70_30,1,20260625,low_ar_confidence_residual,shuffled_pca_residual,0.26169416631338166,0.0001988243988115812
blocked_temporal_70_30,1,20260625,low_ar_confidence_residual,random_pca_residual,0.2589870246851459,-0.002508317229424184
blocked_temporal_70_30,1,20260625,low_ar_confidence_residual,diagnostics_only_residual,0.26176449439656674,0.00026915248199665953
blocked_temporal_70_30,1,20260625,low_ar_confidence_residual,video_mean_pca_residual,0.2611329299426127,-0.00036241197195735486
blocked_temporal_70_30,1,20260625,low_ar_confidence_residual,label_permutation_residual,0.26167542098191965,0.00018007906734957002
blocked_temporal_70_30,1,20260625,rank_lift_residual,frozen_ar_only,0.2614953419145701,0.0
blocked_temporal_70_30,1,20260625,rank_lift_residual,real_residual,0.25451966654497543,-0.006975675369594647
blocked_temporal_70_30,1,20260625,rank_lift_residual,shuffled_pca_residual,0.25824309453756356,-0.003252247377006523
blocked_temporal_70_30,1,20260625,rank_lift_residual,random_pca_residual,0.25905730458895215,-0.0024380373256179255
blocked_temporal_70_30,1,20260625,rank_lift_residual,diagnostics_only_residual,0.261715833047297,0.00022049113272692988
blocked_temporal_70_30,1,20260625,rank_lift_residual,video_mean_pca_residual,0.2560650496068362,-0.005430292307733897
blocked_temporal_70_30,1,20260625,rank_lift_residual,label_permutation_residual,0.26171716626469743,0.00022182435012735313
blocked_temporal_70_30,1,20260626,blocked_delta_selected_gated_residual,frozen_ar_only,0.2682127880208318,0.0
blocked_temporal_70_30,1,20260626,blocked_delta_selected_gated_residual,real_residual,0.2653647028511265,-0.0028480851697053056
blocked_temporal_70_30,1,20260626,blocked_delta_selected_gated_residual,shuffled_pca_residual,0.26662770972646627,-0.0015850782943655495
blocked_temporal_70_30,1,20260626,blocked_delta_selected_gated_residual,random_pca_residual,0.2669276094530231,-0.0012851785678087424
blocked_temporal_70_30,1,20260626,blocked_delta_selected_gated_residual,diagnostics_only_residual,0.26687187695607956,-0.0013409110647522593
blocked_temporal_70_30,1,20260626,blocked_delta_selected_gated_residual,video_mean_pca_residual,0.2639265339150768,-0.004286254105755005
blocked_temporal_70_30,1,20260626,blocked_delta_selected_gated_residual,label_permutation_residual,0.26805617826859296,-0.00015660975223885654
blocked_temporal_70_30,1,20260626,monotonic_do_no_harm_residual,frozen_ar_only,0.2682127880208318,0.0
blocked_temporal_70_30,1,20260626,monotonic_do_no_harm_residual,real_residual,0.26856942137202056,0.00035663335118873984
blocked_temporal_70_30,1,20260626,monotonic_do_no_harm_residual,shuffled_pca_residual,0.26849786680144483,0.00028507878061301284
blocked_temporal_70_30,1,20260626,monotonic_do_no_harm_residual,random_pca_residual,0.26847552162910104,0.00026273360826922776
blocked_temporal_70_30,1,20260626,monotonic_do_no_harm_residual,diagnostics_only_residual,0.268489284767289,0.0002764967464571888
blocked_temporal_70_30,1,20260626,monotonic_do_no_harm_residual,video_mean_pca_residual,0.2685764900973696,0.0003637020765377974
blocked_temporal_70_30,1,20260626,monotonic_do_no_harm_residual,label_permutation_residual,0.26849335888706505,0.0002805708662332318
blocked_temporal_70_30,1,20260626,low_ar_confidence_residual,frozen_ar_only,0.2682127880208318,0.0
blocked_temporal_70_30,1,20260626,low_ar_confidence_residual,real_residual,0.27340384995512007,0.005191061934288255
blocked_temporal_70_30,1,20260626,low_ar_confidence_residual,shuffled_pca_residual,0.2675712506128077,-0.0006415374080241398
blocked_temporal_70_30,1,20260626,low_ar_confidence_residual,random_pca_residual,0.26722060490666216,-0.0009921831141696535
blocked_temporal_70_30,1,20260626,low_ar_confidence_residual,diagnostics_only_residual,0.2672385236586409,-0.0009742643621908909
blocked_temporal_70_30,1,20260626,low_ar_confidence_residual,video_mean_pca_residual,0.2628450516422769,-0.0053677363785549215
blocked_temporal_70_30,1,20260626,low_ar_confidence_residual,label_permutation_residual,0.26851314577663415,0.0003003577558023385
blocked_temporal_70_30,1,20260626,rank_lift_residual,frozen_ar_only,0.2682127880208318,0.0
blocked_temporal_70_30,1,20260626,rank_lift_residual,real_residual,0.27459100986951507,0.006378221848683252
blocked_temporal_70_30,1,20260626,rank_lift_residual,shuffled_pca_residual,0.26869096470532716,0.0004781766844953461
blocked_temporal_70_30,1,20260626,rank_lift_residual,random_pca_residual,0.26877822973101734,0.0005654417101855214
blocked_temporal_70_30,1,20260626,rank_lift_residual,diagnostics_only_residual,0.26582472763280923,-0.0023880603880225837
blocked_temporal_70_30,1,20260626,rank_lift_residual,video_mean_pca_residual,0.2611106419078024,-0.007102146113029395
blocked_temporal_70_30,1,20260626,rank_lift_residual,label_permutation_residual,0.2692932683992556,0.001080480378423787
blocked_temporal_70_30,1,20260627,blocked_delta_selected_gated_residual,frozen_ar_only,0.2667084160340648,0.0
blocked_temporal_70_30,1,20260627,blocked_delta_selected_gated_residual,real_residual,0.2568468086056247,-0.009861607428440111
blocked_temporal_70_30,1,20260627,blocked_delta_selected_gated_residual,shuffled_pca_residual,0.26525411654354336,-0.001454299490521449
blocked_temporal_70_30,1,20260627,blocked_delta_selected_gated_residual,random_pca_residual,0.2669359210635257,0.0002275050294608949
blocked_temporal_70_30,1,20260627,blocked_delta_selected_gated_residual,diagnostics_only_residual,0.26494355436425093,-0.0017648616698138775
blocked_temporal_70_30,1,20260627,blocked_delta_selected_gated_residual,video_mean_pca_residual,0.2682498225482292,0.0015414065141644007
blocked_temporal_70_30,1,20260627,blocked_delta_selected_gated_residual,label_permutation_residual,0.26873963377326365,0.002031217739198843
blocked_temporal_70_30,1,20260627,monotonic_do_no_harm_residual,frozen_ar_only,0.2667084160340648,0.0
blocked_temporal_70_30,1,20260627,monotonic_do_no_harm_residual,real_residual,0.26707335511112573,0.00036493907706092177
blocked_temporal_70_30,1,20260627,monotonic_do_no_harm_residual,shuffled_pca_residual,0.2669943357723908,0.0002859197383259793
blocked_temporal_70_30,1,20260627,monotonic_do_no_harm_residual,random_pca_residual,0.26700380071798197,0.0002953846839171548
blocked_temporal_70_30,1,20260627,monotonic_do_no_harm_residual,diagnostics_only_residual,0.2669970104247152,0.0002885943906503763
blocked_temporal_70_30,1,20260627,monotonic_do_no_harm_residual,video_mean_pca_residual,0.2671116198853006,0.0004032038512357672
blocked_temporal_70_30,1,20260627,monotonic_do_no_harm_residual,label_permutation_residual,0.2670138219566071,0.00030540592254230114
blocked_temporal_70_30,1,20260627,low_ar_confidence_residual,frozen_ar_only,0.2667084160340648,0.0
blocked_temporal_70_30,1,20260627,low_ar_confidence_residual,real_residual,0.2601381587462209,-0.006570257287843884
blocked_temporal_70_30,1,20260627,low_ar_confidence_residual,shuffled_pca_residual,0.26575889046037554,-0.0009495255736892694
blocked_temporal_70_30,1,20260627,low_ar_confidence_residual,random_pca_residual,0.26506307924774075,-0.0016453367863240587
blocked_temporal_70_30,1,20260627,low_ar_confidence_residual,diagnostics_only_residual,0.2671213747037645,0.0004129586696997034
blocked_temporal_70_30,1,20260627,low_ar_confidence_residual,video_mean_pca_residual,0.2633021712780252,-0.0034062447560396225
blocked_temporal_70_30,1,20260627,low_ar_confidence_residual,label_permutation_residual,0.26809318826412776,0.0013847722300629473
blocked_temporal_70_30,1,20260627,rank_lift_residual,frozen_ar_only,0.2667084160340648,0.0
blocked_temporal_70_30,1,20260627,rank_lift_residual,real_residual,0.25637738600783694,-0.010331030026227872
blocked_temporal_70_30,1,20260627,rank_lift_residual,shuffled_pca_residual,0.26525960534611176,-0.0014488106879530505
blocked_temporal_70_30,1,20260627,rank_lift_residual,random_pca_residual,0.2666001997561277,-0.00010821627793711208
blocked_temporal_70_30,1,20260627,rank_lift_residual,diagnostics_only_residual,0.2665465613271074,-0.00016185470695739834
blocked_temporal_70_30,1,20260627,rank_lift_residual,video_mean_pca_residual,0.2694467487444442,0.0027383327103793764
blocked_temporal_70_30,1,20260627,rank_lift_residual,label_permutation_residual,0.2667323563639379,2.3940329873073374e-05
grouped_fold1_reference_only,1,20260625,blocked_delta_selected_gated_residual,frozen_ar_only,0.24547701716516945,0.0
grouped_fold1_reference_only,1,20260625,blocked_delta_selected_gated_residual,real_residual,0.2418662260285934,-0.003610791136576058
grouped_fold1_reference_only,1,20260625,blocked_delta_selected_gated_residual,shuffled_pca_residual,0.24544473000566147,-3.228715950798211e-05
grouped_fold1_reference_only,1,20260625,blocked_delta_selected_gated_residual,random_pca_residual,0.2428876219686091,-0.0025893951965603457
grouped_fold1_reference_only,1,20260625,blocked_delta_selected_gated_residual,diagnostics_only_residual,0.24398728741535597,-0.0014897297498134843
grouped_fold1_reference_only,1,20260625,blocked_delta_selected_gated_residual,video_mean_pca_residual,0.24541702546640504,-5.999169876441668e-05
grouped_fold1_reference_only,1,20260625,blocked_delta_selected_gated_residual,label_permutation_residual,0.24550005793884463,2.3040773675181425e-05
grouped_fold1_reference_only,1,20260625,monotonic_do_no_harm_residual,frozen_ar_only,0.24547701716516945,0.0
grouped_fold1_reference_only,1,20260625,monotonic_do_no_harm_residual,real_residual,0.24548208976676303,5.0726015935753654e-06
grouped_fold1_reference_only,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_residual,0.24544365493537965,-3.3362229789807296e-05
grouped_fold1_reference_only,1,20260625,monotonic_do_no_harm_residual,random_pca_residual,0.24544348969984636,-3.352746532309103e-05
grouped_fold1_reference_only,1,20260625,monotonic_do_no_harm_residual,diagnostics_only_residual,0.24560982641583237,0.0001328092506629186
grouped_fold1_reference_only,1,20260625,monotonic_do_no_harm_residual,video_mean_pca_residual,0.24555782140669932,8.080424152986931e-05
grouped_fold1_reference_only,1,20260625,monotonic_do_no_harm_residual,label_permutation_residual,0.24552144969883286,4.443253366340216e-05
grouped_fold1_reference_only,1,20260625,low_ar_confidence_residual,frozen_ar_only,0.24547701716516945,0.0
grouped_fold1_reference_only,1,20260625,low_ar_confidence_residual,real_residual,0.24466061893599922,-0.0008163982291702343
grouped_fold1_reference_only,1,20260625,low_ar_confidence_residual,shuffled_pca_residual,0.24555319573314288,7.617856797342837e-05
grouped_fold1_reference_only,1,20260625,low_ar_confidence_residual,random_pca_residual,0.2455707306624118,9.371349724235367e-05
grouped_fold1_reference_only,1,20260625,low_ar_confidence_residual,diagnostics_only_residual,0.24349737831851131,-0.0019796388466581383
grouped_fold1_reference_only,1,20260625,low_ar_confidence_residual,video_mean_pca_residual,0.24548399059019477,6.973425025313951e-06
grouped_fold1_reference_only,1,20260625,low_ar_confidence_residual,label_permutation_residual,0.24789174200017128,0.0024147248350018247
grouped_fold1_reference_only,1,20260625,rank_lift_residual,frozen_ar_only,0.24547701716516945,0.0
grouped_fold1_reference_only,1,20260625,rank_lift_residual,real_residual,0.24365592546628623,-0.001821091698883226
grouped_fold1_reference_only,1,20260625,rank_lift_residual,shuffled_pca_residual,0.2454249643489227,-5.20528162467615e-05
grouped_fold1_reference_only,1,20260625,rank_lift_residual,random_pca_residual,0.2454007555315525,-7.626163361695859e-05
grouped_fold1_reference_only,1,20260625,rank_lift_residual,diagnostics_only_residual,0.24377338049212857,-0.0017036366730408814
grouped_fold1_reference_only,1,20260625,rank_lift_residual,video_mean_pca_residual,0.24551874075534175,4.1723590172293434e-05
grouped_fold1_reference_only,1,20260625,rank_lift_residual,label_permutation_residual,0.2454523463417579,-2.4670823411565568e-05
grouped_fold1_reference_only,1,20260626,blocked_delta_selected_gated_residual,frozen_ar_only,0.2446041725850992,0.0
grouped_fold1_reference_only,1,20260626,blocked_delta_selected_gated_residual,real_residual,0.24160866313456497,-0.0029955094505342283
grouped_fold1_reference_only,1,20260626,blocked_delta_selected_gated_residual,shuffled_pca_residual,0.24459663405493795,-7.5385301612496125e-06
grouped_fold1_reference_only,1,20260626,blocked_delta_selected_gated_residual,random_pca_residual,0.24459730467087734,-6.8679142218586176e-06
grouped_fold1_reference_only,1,20260626,blocked_delta_selected_gated_residual,diagnostics_only_residual,0.2445566990183226,-4.7473566776590204e-05
grouped_fold1_reference_only,1,20260626,blocked_delta_selected_gated_residual,video_mean_pca_residual,0.2445474011956377,-5.677138946150184e-05
grouped_fold1_reference_only,1,20260626,blocked_delta_selected_gated_residual,label_permutation_residual,0.2446651345212123,6.0961936113101967e-05
grouped_fold1_reference_only,1,20260626,monotonic_do_no_harm_residual,frozen_ar_only,0.2446041725850992,0.0
grouped_fold1_reference_only,1,20260626,monotonic_do_no_harm_residual,real_residual,0.24460294436242555,-1.228222673649304e-06
grouped_fold1_reference_only,1,20260626,monotonic_do_no_harm_residual,shuffled_pca_residual,0.24461134220619632,7.169621097119494e-06
grouped_fold1_reference_only,1,20260626,monotonic_do_no_harm_residual,random_pca_residual,0.24455649343692148,-4.7679148177715014e-05
grouped_fold1_reference_only,1,20260626,monotonic_do_no_harm_residual,diagnostics_only_residual,0.2445678915226426,-3.628106245659457e-05
grouped_fold1_reference_only,1,20260626,monotonic_do_no_harm_residual,video_mean_pca_residual,0.24464421504340886,4.0042458309658135e-05
grouped_fold1_reference_only,1,20260626,monotonic_do_no_harm_residual,label_permutation_residual,0.24478899961030792,0.00018482702520872252
grouped_fold1_reference_only,1,20260626,low_ar_confidence_residual,frozen_ar_only,0.2446041725850992,0.0
grouped_fold1_reference_only,1,20260626,low_ar_confidence_residual,real_residual,0.24426792764862512,-0.00033624493647407827
grouped_fold1_reference_only,1,20260626,low_ar_confidence_residual,shuffled_pca_residual,0.2446842614668932,8.008888179400486e-05
grouped_fold1_reference_only,1,20260626,low_ar_confidence_residual,random_pca_residual,0.24469248816463196,8.831557953276059e-05
grouped_fold1_reference_only,1,20260626,low_ar_confidence_residual,diagnostics_only_residual,0.24476485245827964,0.00016067987318044152
grouped_fold1_reference_only,1,20260626,low_ar_confidence_residual,video_mean_pca_residual,0.24480085933373383,0.00019668674863462798
grouped_fold1_reference_only,1,20260626,low_ar_confidence_residual,label_permutation_residual,0.24687168353719682,0.0022675109520976233
grouped_fold1_reference_only,1,20260626,rank_lift_residual,frozen_ar_only,0.2446041725850992,0.0
grouped_fold1_reference_only,1,20260626,rank_lift_residual,real_residual,0.24501159531291541,0.0004074227278162146
grouped_fold1_reference_only,1,20260626,rank_lift_residual,shuffled_pca_residual,0.2396547892875164,-0.004949383297582793
grouped_fold1_reference_only,1,20260626,rank_lift_residual,random_pca_residual,0.24014416195741445,-0.004460010627684752
grouped_fold1_reference_only,1,20260626,rank_lift_residual,diagnostics_only_residual,0.2445415301630291,-6.264242207010273e-05
grouped_fold1_reference_only,1,20260626,rank_lift_residual,video_mean_pca_residual,0.24459845440055628,-5.718184542924387e-06
grouped_fold1_reference_only,1,20260626,rank_lift_residual,label_permutation_residual,0.24477303419798735,0.00016886161288814927
