seed,control_type,best_epoch,label_policy,heldout_scoring_policy,best_inner_val_delta_vs_frozen_ar
20260625,label_permutation_residual,13,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,5.0104173859075174e-05
20260626,label_permutation_residual,5,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,4.8667242392719245e-06
20260627,label_permutation_residual,27,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0002976952841078767
20260628,label_permutation_residual,1,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,2.9136323871192804e-05
20260629,label_permutation_residual,16,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.00010750292404862472
20260630,label_permutation_residual,1,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,7.214455054721514e-06
20260631,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
20260632,label_permutation_residual,14,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.00023832366464623944
20260633,label_permutation_residual,5,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,1.3539550819979818e-05
20260634,label_permutation_residual,24,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0004264002485002971
