validation_protocol,actual_validation_protocol,fold,seed,variant_name,control_type,epoch,train_loss,inner_val_pr_auc,inner_val_delta_vs_frozen_ar,true_inner_val_pr_auc,true_inner_val_delta_vs_frozen_ar,frozen_ar_inner_val_pr_auc,true_frozen_ar_inner_val_pr_auc,alpha,gate_mean,gate_p95
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,1,0.155586251989007,0.23218708712715064,0.00011022458384096767,0.23218708712715064,0.00011022458384096767,0.23207686254330967,0.23207686254330967,0.0017935436917468905,0.023392794653773308,0.061183810234069824
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,2,0.15557876508682966,0.2322122680978936,0.00013540555458393944,0.2322122680978936,0.00013540555458393944,0.23207686254330967,0.23207686254330967,0.0018101830501109362,0.04000427946448326,0.16497181355953217
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,3,0.15555985365062952,0.23222898847031376,0.00015212592700408756,0.23222898847031376,0.00015212592700408756,0.23207686254330967,0.23207686254330967,0.00184666458517313,0.091984823346138,0.49593767523765564
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,4,0.15554445143789053,0.2322317833355287,0.0001549207922190432,0.2322317833355287,0.0001549207922190432,0.23207686254330967,0.23207686254330967,0.001885846140794456,0.13249939680099487,0.7299758195877075
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,5,0.15553332027047873,0.23223536980592574,0.00015850726261606995,0.23223536980592574,0.00015850726261606995,0.23207686254330967,0.23207686254330967,0.0019199751550331712,0.11414410918951035,0.6330698132514954
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,6,0.1554832188412547,0.2322444258728592,0.000167563329549536,0.2322444258728592,0.000167563329549536,0.23207686254330967,0.23207686254330967,0.0019511474529281259,0.09273821115493774,0.5275859832763672
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,7,0.15550619270652533,0.23225488500704297,0.00017802246373330166,0.23225488500704297,0.00017802246373330166,0.23207686254330967,0.23207686254330967,0.0019822546746581793,0.08285641670227051,0.4717393219470978
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,8,0.15547208953648806,0.2322568231965158,0.00017996065320613486,0.2322568231965158,0.00017996065320613486,0.23207686254330967,0.23207686254330967,0.0020090125035494566,0.07150862365961075,0.392790824174881
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,9,0.1555071910843253,0.23225802664276124,0.00018116409945156953,0.23225802664276124,0.00018116409945156953,0.23207686254330967,0.23207686254330967,0.002034023404121399,0.0653504952788353,0.342534601688385
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,10,0.1554671199992299,0.23225673894867999,0.00017987640537031613,0.23225673894867999,0.00017987640537031613,0.23207686254330967,0.23207686254330967,0.0020561625715345144,0.05973481386899948,0.29497578740119934
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,11,0.15551093220710754,0.23225902667971413,0.00018216413640445572,0.23225902667971413,0.00018216413640445572,0.23207686254330967,0.23207686254330967,0.0020761035848408937,0.05618011951446533,0.266859769821167
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,12,0.15548188146203756,0.2322569621351514,0.0001800995918417314,0.2322569621351514,0.0001800995918417314,0.23207686254330967,0.23207686254330967,0.0020941938273608685,0.0534137599170208,0.245304137468338
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,13,0.15546956285834312,0.23225730066620745,0.00018043812289778027,0.23225730066620745,0.00018043812289778027,0.23207686254330967,0.23207686254330967,0.002108264248818159,0.05206585302948952,0.23428508639335632
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,14,0.1554513731971383,0.23225736838261002,0.00018050583930034891,0.23225736838261002,0.00018050583930034891,0.23207686254330967,0.23207686254330967,0.0021215174347162247,0.050710368901491165,0.22473175823688507
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,15,0.15548403095453978,0.2322584194304326,0.00018155688712293006,0.2322584194304326,0.00018155688712293006,0.23207686254330967,0.23207686254330967,0.0021327778231352568,0.049431897699832916,0.21480147540569305
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,16,0.1554567702114582,0.23225856732273287,0.0001817047794231974,0.23225856732273287,0.0001817047794231974,0.23207686254330967,0.23207686254330967,0.002143299672752619,0.048988066613674164,0.211247980594635
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,17,0.15548952389508486,0.2322580493951577,0.0001811868518480364,0.2322580493951577,0.0001811868518480364,0.23207686254330967,0.23207686254330967,0.0021534336265176535,0.04820742830634117,0.20579352974891663
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,18,0.15546940546482801,0.23225822451949013,0.0001813619761804608,0.23225822451949013,0.0001813619761804608,0.23207686254330967,0.23207686254330967,0.002163562225177884,0.04813045635819435,0.20425528287887573
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_residual,19,0.15544991753995419,0.2322578622539841,0.00018099971067442322,0.2322578622539841,0.00018099971067442322,0.23207686254330967,0.23207686254330967,0.002172821434214711,0.048240236937999725,0.20493978261947632
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_residual,1,0.1555862743407488,0.23218539578092467,0.000108533237615005,0.23218539578092467,0.000108533237615005,0.23207686254330967,0.23207686254330967,0.0017890598392114043,0.02211965247988701,0.05541663616895676
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_residual,2,0.15557897370308638,0.23219405642694663,0.00011719388363695682,0.23219405642694663,0.00011719388363695682,0.23207686254330967,0.23207686254330967,0.0017899532103911042,0.03223986178636551,0.11868175864219666
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_residual,3,0.1555623821914196,0.23221298975879823,0.00013612721548855733,0.23221298975879823,0.00013612721548855733,0.23207686254330967,0.23207686254330967,0.0018145330250263214,0.06575809419155121,0.3218040466308594
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_residual,4,0.1555540207773447,0.2322134532630158,0.00013659071970612002,0.2322134532630158,0.00013659071970612002,0.23207686254330967,0.23207686254330967,0.0018501700833439827,0.12462334334850311,0.6688094735145569
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_residual,5,0.1555487560108304,0.23220790250048362,0.00013103995717395067,0.23220790250048362,0.00013103995717395067,0.23207686254330967,0.23207686254330967,0.0018795010400936007,0.16240689158439636,0.8355669379234314
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_residual,6,0.1555071361362934,0.23220499549104762,0.0001281329477379467,0.23220499549104762,0.0001281329477379467,0.23207686254330967,0.23207686254330967,0.0018909467617049813,0.16256146132946014,0.8354350328445435
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_residual,7,0.1555382190272212,0.23220719654852048,0.00013033400521081373,0.23220719654852048,0.00013033400521081373,0.23207686254330967,0.23207686254330967,0.0019083594670519233,0.16844084858894348,0.8542265295982361
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_residual,8,0.15551201160997152,0.23220874341555944,0.0001318808722497733,0.23220874341555944,0.0001318808722497733,0.23207686254330967,0.23207686254330967,0.0019242536509409547,0.17240339517593384,0.8668625354766846
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_residual,9,0.15555339213460684,0.23220233516126426,0.00012547261795459175,0.23220233516126426,0.00012547261795459175,0.23207686254330967,0.23207686254330967,0.0019418912706896663,0.17644725739955902,0.8782141208648682
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_residual,10,0.15551836788654327,0.2322011940411101,0.0001243314978004173,0.2322011940411101,0.0001243314978004173,0.23207686254330967,0.23207686254330967,0.0019600496161729097,0.1806623637676239,0.8893314599990845
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_residual,11,0.1555659333243966,0.2322009714107028,0.0001241088673931412,0.2322009714107028,0.0001241088673931412,0.23207686254330967,0.23207686254330967,0.0019789475481957197,0.18638338148593903,0.9038968086242676
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_residual,12,0.15553936082869768,0.23220187236711837,0.00012500982380869718,0.23220187236711837,0.00012500982380869718,0.23207686254330967,0.23207686254330967,0.0019972105510532856,0.19069886207580566,0.9138129353523254
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_residual,1,0.15558627247810364,0.23220145097271966,0.0001245884294099886,0.23220145097271966,0.0001245884294099886,0.23207686254330967,0.23207686254330967,0.0017895048949867487,0.022058306261897087,0.05606909096240997
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_residual,2,0.15557896718382835,0.23221440973630159,0.00013754719299191587,0.23221440973630159,0.00013754719299191587,0.23207686254330967,0.23207686254330967,0.001790604554116726,0.03248164430260658,0.11951428651809692
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_residual,3,0.15556232817471027,0.23221969673016857,0.00014283418685889782,0.23221969673016857,0.00014283418685889782,0.23207686254330967,0.23207686254330967,0.0018174834549427032,0.06824915111064911,0.3399420380592346
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_residual,4,0.1555537460371852,0.23222569384596398,0.00014883130265430644,0.23222569384596398,0.00014883130265430644,0.23207686254330967,0.23207686254330967,0.0018531503155827522,0.12726563215255737,0.6847676038742065
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_residual,5,0.15554854925721884,0.23222197767287833,0.00014511512956866257,0.23222197767287833,0.00014511512956866257,0.23207686254330967,0.23207686254330967,0.0018820420373231173,0.16358546912670135,0.8401305079460144
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_residual,6,0.15550700388848782,0.23222013144465986,0.00014326890135019088,0.23222013144465986,0.00014326890135019088,0.23207686254330967,0.23207686254330967,0.001893789740279317,0.16113871335983276,0.830639660358429
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_residual,7,0.15553812123835087,0.23221977787329945,0.00014291532998977896,0.23221977787329945,0.00014291532998977896,0.23207686254330967,0.23207686254330967,0.0019113458693027496,0.1665627360343933,0.8483104109764099
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_residual,8,0.15551196411252022,0.23221671903546398,0.00013985649215431106,0.23221671903546398,0.00013985649215431106,0.23207686254330967,0.23207686254330967,0.0019273984944447875,0.16907528042793274,0.8551294803619385
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_residual,9,0.15555339120328426,0.23221653774776954,0.00013967520445987147,0.23221653774776954,0.00013967520445987147,0.23207686254330967,0.23207686254330967,0.0019452804699540138,0.17117725312709808,0.8612288236618042
blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_residual,10,0.15551839862018824,0.23221558316523677,0.000138720621927102,0.23221558316523677,0.000138720621927102,0.23207686254330967,0.23207686254330967,0.0019628421869128942,0.17452630400657654,0.8706814646720886
