validation_protocol,fold,seed,variant_name,control_type,epoch,train_loss,inner_val_selection_policy,inner_val_top_5pct_lift,inner_val_top_5pct_lift_delta_vs_frozen_ar,inner_val_spearman,inner_val_spearman_delta_vs_frozen_ar,true_inner_val_top_5pct_lift_delta_vs_frozen_ar,true_inner_val_spearman_delta_vs_frozen_ar,alpha,gate_mean,gate_p95
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_continuous_residual,1,0.01160032581537962,true_inner_val_continuous_target,0.07851935923099518,0.0,0.27355318179739396,-0.001241788010115763,0.0,-0.001241788010115763,0.001792120630852878,0.021200325340032578,0.04517456889152527
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_continuous_residual,2,0.011593610339332372,true_inner_val_continuous_target,0.07878389954566956,0.00026454031467437744,0.27358827463417,-0.0012066951733397113,0.00026454031467437744,-0.0012066951733397113,0.001826025894843042,0.03722352534532547,0.14662308990955353
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_continuous_residual,3,0.011511818564031273,true_inner_val_continuous_target,0.07947525382041931,0.0009558945894241333,0.26608371625407445,-0.008711253553435272,0.0009558945894241333,-0.008711253553435272,0.001866426202468574,0.09186626970767975,0.49843257665634155
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_continuous_residual,4,0.011296664306428283,true_inner_val_continuous_target,0.07958121597766876,0.001061856746673584,0.2361580716364718,-0.03863689817103794,0.001061856746673584,-0.03863689817103794,0.0019081461941823363,0.1574031412601471,0.834252655506134
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_continuous_residual,5,0.011091465130448341,true_inner_val_continuous_target,0.06843271851539612,-0.01008664071559906,0.20934990071059037,-0.06544506909691936,-0.01008664071559906,-0.06544506909691936,0.001942455186508596,0.1935829222202301,0.929050087928772
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_continuous_residual,6,0.011005033913534135,true_inner_val_continuous_target,0.06567547470331192,-0.012843884527683258,0.2043010468434847,-0.07049392296402501,-0.012843884527683258,-0.07049392296402501,0.001956503838300705,0.20270292460918427,0.9437472820281982
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_continuous_residual,7,0.01096665539080277,true_inner_val_continuous_target,0.06989803165197372,-0.008621327579021454,0.20890038490881854,-0.06589458489869118,-0.008621327579021454,-0.06589458489869118,0.001963829854503274,0.20401066541671753,0.9443581104278564
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_continuous_residual,8,0.01092341251205653,true_inner_val_continuous_target,0.07236500829458237,-0.006154350936412811,0.2130534100964115,-0.06174155971109824,-0.006154350936412811,-0.06174155971109824,0.0019754800014197826,0.20406349003314972,0.9438904523849487
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_continuous_residual,9,0.010883039270993322,true_inner_val_continuous_target,0.07263897359371185,-0.005880385637283325,0.21328993937224605,-0.061505030435263675,-0.005880385637283325,-0.061505030435263675,0.0019915741868317127,0.20677050948143005,0.9459976553916931
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_continuous_residual,10,0.010849633603356779,true_inner_val_continuous_target,0.07614877074956894,-0.002370588481426239,0.2166560055019081,-0.058138964305601615,-0.002370588481426239,-0.058138964305601615,0.0020056685898452997,0.20842210948467255,0.9466848969459534
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_continuous_residual,11,0.010811812186148018,true_inner_val_continuous_target,0.0765005499124527,-0.0020188093185424805,0.2162363595360815,-0.058558610271428224,-0.0020188093185424805,-0.058558610271428224,0.002021584426984191,0.21084459125995636,0.9482524394989014
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,real_continuous_residual,12,0.010784279555082321,true_inner_val_continuous_target,0.07833217084407806,-0.00018718838691711426,0.21891069762105103,-0.055884272186458694,-0.00018718838691711426,-0.055884272186458694,0.00203520804643631,0.2126113474369049,0.9485597610473633
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_continuous_residual,1,0.011600373487453908,true_inner_val_continuous_target,0.07851935923099518,0.0,0.2735587746902895,-0.001236195117220229,0.0,-0.001236195117220229,0.0017889576265588403,0.020446427166461945,0.043488457798957825
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_continuous_residual,2,0.011595834395848215,true_inner_val_continuous_target,0.07845510542392731,-6.42538070678711e-05,0.2737330230410293,-0.001061946766480415,-6.42538070678711e-05,-0.001061946766480415,0.0018209608970209956,0.03445839509367943,0.1303061544895172
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_continuous_residual,3,0.011552171665243804,true_inner_val_continuous_target,0.07858738303184509,6.802380084991455e-05,0.26708963188791784,-0.007705337919591881,6.802380084991455e-05,-0.007705337919591881,0.0018613407155498862,0.08673800528049469,0.454998254776001
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_continuous_residual,4,0.011406767007429153,true_inner_val_continuous_target,0.07914726436138153,0.0006279051303863525,0.23221155220423198,-0.042583417603277746,0.0006279051303863525,-0.042583417603277746,0.0019035004079341888,0.1583496630191803,0.8217825889587402
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_continuous_residual,5,0.011215472943149507,true_inner_val_continuous_target,0.06388707458972931,-0.01463228464126587,0.19665348164509028,-0.07814148816241945,-0.01463228464126587,-0.07814148816241945,0.001940628164447844,0.20455500483512878,0.9445329904556274
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_continuous_residual,6,0.01113583066035062,true_inner_val_continuous_target,0.0544695109128952,-0.024049848318099976,0.18448429616670708,-0.09031067364080264,-0.024049848318099976,-0.09031067364080264,0.001954499166458845,0.22626233100891113,0.9731571674346924
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_continuous_residual,7,0.01112824899610132,true_inner_val_continuous_target,0.056553520262241364,-0.021965838968753815,0.18339159585815076,-0.09140337394935896,-0.021965838968753815,-0.09140337394935896,0.0019519900670275092,0.2381613552570343,0.9826991558074951
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_continuous_residual,8,0.011115247965790331,true_inner_val_continuous_target,0.06107083708047867,-0.01744852215051651,0.18466098336101375,-0.09013398644649598,-0.01744852215051651,-0.09013398644649598,0.001947282813489437,0.2468852549791336,0.9878101348876953
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_continuous_residual,9,0.011102260672487319,true_inner_val_continuous_target,0.06076277047395706,-0.017756588757038116,0.1831505639587726,-0.09164440584873712,-0.017756588757038116,-0.09164440584873712,0.0019485224038362503,0.25505948066711426,0.9914189577102661
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_continuous_residual,10,0.011096093629021198,true_inner_val_continuous_target,0.061485081911087036,-0.017034277319908142,0.1830526602250315,-0.09174230958247823,-0.017034277319908142,-0.09174230958247823,0.0019479453330859542,0.26210442185401917,0.9938272833824158
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_continuous_residual,11,0.011081654927693307,true_inner_val_continuous_target,0.060331717133522034,-0.018187642097473145,0.1812810622777187,-0.09351390752979102,-0.018187642097473145,-0.09351390752979102,0.0019509621197357774,0.26822659373283386,0.9954191446304321
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,shuffled_pca_continuous_residual,12,0.011075699585489929,true_inner_val_continuous_target,0.060268424451351166,-0.018250934779644012,0.1806880158754333,-0.09410695393207644,-0.018250934779644012,-0.09410695393207644,0.0019524816889315844,0.2736835777759552,0.9965305328369141
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_continuous_residual,1,0.011600375932175666,true_inner_val_continuous_target,0.07851935923099518,0.0,0.2735689784873207,-0.0012259913201890238,0.0,-0.0012259913201890238,0.0017887114081531763,0.020343445241451263,0.043838854879140854
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_continuous_residual,2,0.011595704301726073,true_inner_val_continuous_target,0.07873861491680145,0.00021925568580627441,0.27394673670482983,-0.0008482331026798962,0.00021925568580627441,-0.0008482331026798962,0.001820888719521463,0.034764040261507034,0.13260126113891602
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_continuous_residual,3,0.011551248375326395,true_inner_val_continuous_target,0.0788370817899704,0.0003177225589752197,0.26857041492677614,-0.00622455488073359,0.0003177225589752197,-0.00622455488073359,0.001861205673776567,0.08743695169687271,0.4597949683666229
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_continuous_residual,4,0.01140298682730645,true_inner_val_continuous_target,0.07850661873817444,-1.2740492820739746e-05,0.23289598198699465,-0.04189898782051507,-1.2740492820739746e-05,-0.04189898782051507,0.001903383294120431,0.15908078849315643,0.8258982300758362
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_continuous_residual,5,0.01121125090867281,true_inner_val_continuous_target,0.0634455755352974,-0.015073783695697784,0.1960327398134798,-0.07876222999402993,-0.015073783695697784,-0.07876222999402993,0.0019403297919780016,0.2049793154001236,0.9466395378112793
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_continuous_residual,6,0.011132549319881946,true_inner_val_continuous_target,0.05448343604803085,-0.024035923182964325,0.18405145844886747,-0.09074351135864225,-0.024035923182964325,-0.09074351135864225,0.001953940838575363,0.22611264884471893,0.9734853506088257
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_continuous_residual,7,0.011125297809485346,true_inner_val_continuous_target,0.055861882865428925,-0.022657476365566254,0.18307863875519534,-0.09171633105231439,-0.022657476365566254,-0.09171633105231439,0.001951707759872079,0.23774676024913788,0.9829933047294617
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_continuous_residual,8,0.01111290481640026,true_inner_val_continuous_target,0.060049206018447876,-0.018470153212547302,0.18440112194737818,-0.09039384786013155,-0.018470153212547302,-0.09039384786013155,0.0019473020220175385,0.24601733684539795,0.9878061413764954
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_continuous_residual,9,0.011100177536718547,true_inner_val_continuous_target,0.0607108548283577,-0.01780850440263748,0.18318784588332454,-0.09160712392418519,-0.01780850440263748,-0.09160712392418519,0.0019483844516798854,0.2540537118911743,0.991406261920929
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_continuous_residual,10,0.011093851935584098,true_inner_val_continuous_target,0.062183476984500885,-0.016335882246494293,0.18317962516531952,-0.0916153446421902,-0.016335882246494293,-0.0916153446421902,0.0019479281036183238,0.2609594166278839,0.9937388896942139
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,random_pca_continuous_residual,11,0.011079658870585263,true_inner_val_continuous_target,0.06020672619342804,-0.01831263303756714,0.18137214107347469,-0.09342282873403504,-0.01831263303756714,-0.09342282873403504,0.001951157464645803,0.2670016586780548,0.9953210353851318
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,train_only_video_mean_continuous_residual,1,0.011600246885791421,true_inner_val_continuous_target,0.0787416398525238,0.0002222806215286255,0.273490342288607,-0.0013046275189027012,0.0002222806215286255,-0.0013046275189027012,0.001796248252503574,0.022394809871912003,0.05274688079953194
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,train_only_video_mean_continuous_residual,2,0.011593024362809956,true_inner_val_continuous_target,0.07898996770381927,0.0004706084728240967,0.2719771846378277,-0.0028177851696820078,0.0004706084728240967,-0.0028177851696820078,0.001831469009630382,0.03793056309223175,0.12751810252666473
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,train_only_video_mean_continuous_residual,3,0.011553234420716763,true_inner_val_continuous_target,0.07973399758338928,0.001214638352394104,0.266166925030886,-0.008628044776623711,0.001214638352394104,-0.008628044776623711,0.0018725479021668434,0.059816520661115646,0.3190371096134186
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,train_only_video_mean_continuous_residual,4,0.011499423300847411,true_inner_val_continuous_target,0.07422790676355362,-0.004291452467441559,0.25821930118296,-0.016575668624549733,-0.004291452467441559,-0.016575668624549733,0.0019113302696496248,0.07914682477712631,0.5267308950424194
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,train_only_video_mean_continuous_residual,5,0.01143957517342642,true_inner_val_continuous_target,0.06797003000974655,-0.010549329221248627,0.25358882189071,-0.0212061479167997,-0.010549329221248627,-0.0212061479167997,0.0019442442571744323,0.09295504540205002,0.706703782081604
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,train_only_video_mean_continuous_residual,6,0.011391689826268703,true_inner_val_continuous_target,0.06352631747722626,-0.014993041753768921,0.2480745403399544,-0.026720429467555318,-0.014993041753768921,-0.026720429467555318,0.001967380987480283,0.10411996394395828,0.8177184462547302
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,train_only_video_mean_continuous_residual,7,0.011344032478518784,true_inner_val_continuous_target,0.0628342255949974,-0.015685133635997772,0.2407336199746429,-0.03406134983286682,-0.015685133635997772,-0.03406134983286682,0.0019896121229976416,0.11639461666345596,0.8478602170944214
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,train_only_video_mean_continuous_residual,8,0.01127967273350805,true_inner_val_continuous_target,0.05762800574302673,-0.020891353487968445,0.23065303086904104,-0.04414193893846868,-0.020891353487968445,-0.04414193893846868,0.0020122691057622433,0.12851455807685852,0.8875861763954163
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,train_only_video_mean_continuous_residual,9,0.011215255013667047,true_inner_val_continuous_target,0.057943232357501984,-0.020576126873493195,0.22355149166698546,-0.05124347814052427,-0.020576126873493195,-0.05124347814052427,0.002035181736573577,0.13967303931713104,0.931825578212738
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,train_only_video_mean_continuous_residual,10,0.011169216071721166,true_inner_val_continuous_target,0.05501766502857208,-0.023501694202423096,0.21817144806395367,-0.05662352174355606,-0.023501694202423096,-0.05662352174355606,0.0020563912112265825,0.14940311014652252,0.9473667740821838
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,train_only_video_mean_continuous_residual,11,0.011119315109681338,true_inner_val_continuous_target,0.051260799169540405,-0.027258560061454773,0.21472095565989752,-0.06007401414761221,-0.027258560061454773,-0.06007401414761221,0.0020719922613352537,0.15739478170871735,0.9570330381393433
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_continuous_residual,1,0.013469589117448777,permuted_inner_val_continuous_target,-0.0023077502846717834,0.0,0.0038493425471322206,-0.00068484809786516,0.0,-0.0013170304297731028,0.0017863245448097587,0.020789390429854393,0.04212614521384239
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_continuous_residual,2,0.013461150578223169,permuted_inner_val_continuous_target,-0.0023077502846717834,0.0,0.0039028285521186257,-0.0006313620928787549,-0.00020051002502441406,-0.0014087655438901892,0.001814843388274312,0.025096967816352844,0.07442979514598846
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_continuous_residual,3,0.013459410809446126,permuted_inner_val_continuous_target,-0.001841329038143158,0.0004664212465286255,0.003426224459344314,-0.0011079661856530664,-0.00011511147022247314,-0.0031387861790279636,0.0018547301879152656,0.059396255761384964,0.2971014380455017
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_continuous_residual,4,0.013352217560168356,permuted_inner_val_continuous_target,-0.0010815858840942383,0.0012261644005775452,0.0036943797657912835,-0.0008398108792060971,-0.0005634576082229614,-0.024097059844018,0.001896838890388608,0.12721595168113708,0.7164618372917175
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_continuous_residual,5,0.013182797061745077,permuted_inner_val_continuous_target,0.0009857900440692902,0.0032935403287410736,0.004244177036157899,-0.00029001360883948186,-0.006223313510417938,-0.061245308613063515,0.0019365024054422975,0.18261653184890747,0.9136081337928772
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_continuous_residual,6,0.013077994983177632,permuted_inner_val_continuous_target,0.002216532826423645,0.0045242831110954285,0.0036860836280217368,-0.0008481070169756438,-0.015289872884750366,-0.07956858716740639,0.0019568149000406265,0.21466432511806488,0.9633128643035889
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_continuous_residual,7,0.013048359309323132,permuted_inner_val_continuous_target,0.0028834305703639984,0.005191180855035782,0.003707364110539067,-0.0008268265344583137,-0.011614635586738586,-0.08132702497511626,0.001953938975930214,0.23353824019432068,0.9789282083511353
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_continuous_residual,8,0.013017596618738025,permuted_inner_val_continuous_target,0.002129778265953064,0.004437528550624847,0.0037384672937934454,-0.0007957233512039352,-0.009798586368560791,-0.08278405320514626,0.00195454154163599,0.2480217069387436,0.9867498874664307
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_continuous_residual,9,0.012984223547391593,permuted_inner_val_continuous_target,0.0018108077347278595,0.004118558019399643,0.0037967090745088497,-0.0007374815704885309,-0.011052757501602173,-0.08553679849316131,0.0019591408781707287,0.2598361372947693,0.9913793802261353
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_continuous_residual,10,0.012959118059370667,permuted_inner_val_continuous_target,0.001755841076374054,0.004063591361045837,0.0038236246685682033,-0.0007105659764291773,-0.010320998728275299,-0.08726899261616902,0.001964292023330927,0.26901179552078247,0.9939353466033936
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_continuous_residual,11,0.012957405531778932,permuted_inner_val_continuous_target,0.0011228658258914948,0.003430616110563278,0.0038094740915412674,-0.0007247165534561132,-0.010159946978092194,-0.08893024568295993,0.0019701379351317883,0.2767779231071472,0.9955453872680664
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_continuous_residual,12,0.012926746567245573,permuted_inner_val_continuous_target,0.001142200082540512,0.0034499503672122955,0.003648158105738527,-0.0008860325392588534,-0.011416114866733551,-0.0924187093165236,0.001979354303330183,0.28380250930786133,0.9967001676559448
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_continuous_residual,13,0.01291665795724839,permuted_inner_val_continuous_target,0.0010194703936576843,0.0033272206783294678,0.0036258445171995887,-0.0009083461277977919,-0.01004086434841156,-0.09027659272876026,0.0019823776092380285,0.2894027829170227,0.9974091053009033
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_continuous_residual,14,0.012908686883747578,permuted_inner_val_continuous_target,0.0013412944972515106,0.003649044781923294,0.0035629379811110916,-0.000971252663886289,-0.010863393545150757,-0.09244601659803514,0.0019908647518604994,0.29451993107795715,0.9979443550109863
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,label_permutation_continuous_residual,15,0.012882625334896147,permuted_inner_val_continuous_target,0.0011559836566448212,0.0034637339413166046,0.0035078240483796034,-0.0010263665966177772,-0.010970689356327057,-0.0931982487302323,0.001998495077714324,0.29883286356925964,0.9983168244361877
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,diagnostics_only_continuous_residual,1,0.011597943841479719,true_inner_val_continuous_target,0.07859671115875244,7.735192775726318e-05,0.2721434569799095,-0.002651512827600233,7.735192775726318e-05,-0.002651512827600233,0.0018251928268000484,0.0656803622841835,0.2550926208496094
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,diagnostics_only_continuous_residual,2,0.011574212345294654,true_inner_val_continuous_target,0.07796876132488251,-0.0005505979061126709,0.2611120031560454,-0.013682966651464346,-0.0005505979061126709,-0.013682966651464346,0.0018659532070159912,0.1372036635875702,0.6136468648910522
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,diagnostics_only_continuous_residual,3,0.01150105136912316,true_inner_val_continuous_target,0.07778096199035645,-0.0007383972406387329,0.24073732291572258,-0.03405764689178714,-0.0007383972406387329,-0.03405764689178714,0.001908102654851973,0.21384133398532867,0.8773597478866577
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,diagnostics_only_continuous_residual,4,0.011420056514907628,true_inner_val_continuous_target,0.0728677436709404,-0.005651615560054779,0.2190882289377806,-0.05570674086972913,-0.005651615560054779,-0.05570674086972913,0.0019469870021566749,0.26878899335861206,0.9636145830154419
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,diagnostics_only_continuous_residual,5,0.011355072201695293,true_inner_val_continuous_target,0.06579797714948654,-0.012721382081508636,0.20222645408161938,-0.07256851572589035,-0.012721382081508636,-0.07256851572589035,0.0019750436767935753,0.3030531704425812,0.9869965314865112
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,diagnostics_only_continuous_residual,6,0.011326891020871699,true_inner_val_continuous_target,0.06230291724205017,-0.016216441988945007,0.1949503716285047,-0.07984459817900502,-0.016216441988945007,-0.07984459817900502,0.001986471004784107,0.32551732659339905,0.9943093061447144
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,diagnostics_only_continuous_residual,7,0.011312296672258526,true_inner_val_continuous_target,0.06449992954730988,-0.014019429683685303,0.19418228213288308,-0.08061268767462665,-0.014019429683685303,-0.08061268767462665,0.001986386254429817,0.3415817320346832,0.9971945285797119
blocked_temporal_70_30,1,20260625,monotonic_do_no_harm_residual,diagnostics_only_continuous_residual,8,0.01129767979728058,true_inner_val_continuous_target,0.06596839427947998,-0.012550964951515198,0.19487745247699345,-0.07991751733051627,-0.012550964951515198,-0.07991751733051627,0.001984490780159831,0.3540574610233307,0.9984745979309082
