fold,seed,control_type,uses_test_rows_for_mean,best_epoch,checkpoint_restored
1,20260625,train_only_video_mean_residual,False,1,True
1,20260626,train_only_video_mean_residual,False,4,True
1,20260627,train_only_video_mean_residual,False,4,True
1,20260628,train_only_video_mean_residual,False,4,True
1,20260629,train_only_video_mean_residual,False,4,True
1,20260630,train_only_video_mean_residual,False,4,True
1,20260631,train_only_video_mean_residual,False,5,True
1,20260632,train_only_video_mean_residual,False,2,True
1,20260633,train_only_video_mean_residual,False,3,True
1,20260634,train_only_video_mean_residual,False,2,True
2,20260625,train_only_video_mean_residual,False,1,True
2,20260626,train_only_video_mean_residual,False,1,True
2,20260627,train_only_video_mean_residual,False,2,True
2,20260628,train_only_video_mean_residual,False,0,False
2,20260629,train_only_video_mean_residual,False,1,True
2,20260630,train_only_video_mean_residual,False,1,True
2,20260631,train_only_video_mean_residual,False,1,True
2,20260632,train_only_video_mean_residual,False,1,True
2,20260633,train_only_video_mean_residual,False,2,True
2,20260634,train_only_video_mean_residual,False,3,True
3,20260625,train_only_video_mean_residual,False,1,True
3,20260626,train_only_video_mean_residual,False,1,True
3,20260627,train_only_video_mean_residual,False,2,True
3,20260628,train_only_video_mean_residual,False,11,True
3,20260629,train_only_video_mean_residual,False,1,True
3,20260630,train_only_video_mean_residual,False,4,True
3,20260631,train_only_video_mean_residual,False,1,True
3,20260632,train_only_video_mean_residual,False,6,True
3,20260633,train_only_video_mean_residual,False,3,True
3,20260634,train_only_video_mean_residual,False,2,True
4,20260625,train_only_video_mean_residual,False,4,True
4,20260626,train_only_video_mean_residual,False,3,True
4,20260627,train_only_video_mean_residual,False,4,True
4,20260628,train_only_video_mean_residual,False,5,True
4,20260629,train_only_video_mean_residual,False,6,True
4,20260630,train_only_video_mean_residual,False,7,True
4,20260631,train_only_video_mean_residual,False,5,True
4,20260632,train_only_video_mean_residual,False,6,True
4,20260633,train_only_video_mean_residual,False,4,True
4,20260634,train_only_video_mean_residual,False,4,True
5,20260625,train_only_video_mean_residual,False,4,True
5,20260626,train_only_video_mean_residual,False,28,True
5,20260627,train_only_video_mean_residual,False,1,True
5,20260628,train_only_video_mean_residual,False,1,True
5,20260629,train_only_video_mean_residual,False,1,True
5,20260630,train_only_video_mean_residual,False,5,True
5,20260631,train_only_video_mean_residual,False,1,True
5,20260632,train_only_video_mean_residual,False,2,True
5,20260633,train_only_video_mean_residual,False,2,True
5,20260634,train_only_video_mean_residual,False,3,True
