protocol,fold,seed,lane,residual_suppressed,checkpoint_restore_pass,checkpoint_path,checkpoint_exists,expected_checkpoint_checksum,actual_checkpoint_checksum,checkpoint_checksum_match,checkpoint_policy_pass
blocked_temporal_70_30,1,20260625,real_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260625__best.npz,True,b9d978ab42ad87048c234d5cdb023b2b,b9d978ab42ad87048c234d5cdb023b2b,True,True
blocked_temporal_70_30,1,20260625,shuffled_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__shuffled_pca_residual__seed20260625__best.npz,True,37cb8416b3d23b433f1205651e9dde69,37cb8416b3d23b433f1205651e9dde69,True,True
blocked_temporal_70_30,1,20260625,random_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__random_pca_residual__seed20260625__best.npz,True,1b846c89e7fa224375d3cce9ac7e37d5,1b846c89e7fa224375d3cce9ac7e37d5,True,True
blocked_temporal_70_30,1,20260625,label_permutation_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__label_permutation_residual__seed20260625__best.npz,True,783747855b0e06642459d8e25a316245,783747855b0e06642459d8e25a316245,True,True
blocked_temporal_70_30,1,20260625,train_only_video_mean_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__train_only_video_mean_residual__seed20260625__best.npz,True,1fca5670bf8b02121988814fcd9debc7,1fca5670bf8b02121988814fcd9debc7,True,True
blocked_temporal_70_30,1,20260625,diagnostics_only_residual,True,True,,False,,,True,True
blocked_temporal_70_30,1,20260626,real_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260626__best.npz,True,09db0f2e8b6506a39681bb8f58b463a3,09db0f2e8b6506a39681bb8f58b463a3,True,True
blocked_temporal_70_30,1,20260626,shuffled_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__shuffled_pca_residual__seed20260626__best.npz,True,c5e7acf2e64cfc61256a226ac31ba53a,c5e7acf2e64cfc61256a226ac31ba53a,True,True
blocked_temporal_70_30,1,20260626,random_pca_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__random_pca_residual__seed20260626__best.npz,True,ed6670b813aec1e69fc510a4c9b41935,ed6670b813aec1e69fc510a4c9b41935,True,True
blocked_temporal_70_30,1,20260626,label_permutation_residual,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__label_permutation_residual__seed20260626__best.npz,True,c76eb0822097f9042eb23c6833951525,c76eb0822097f9042eb23c6833951525,True,True
