protocol,fold,seed,lane,actual_feature_policy,feature_policy_pass,label_permutation_policy_pass,train_only_video_mean_policy_pass,control_policy_pass
blocked_temporal_70_30,1,20260625,real_residual,real,True,True,True,True
blocked_temporal_70_30,1,20260625,shuffled_pca_residual,shuffled_train_and_test_separately,True,True,True,True
blocked_temporal_70_30,1,20260625,random_pca_residual,random_gaussian_matched_shape,True,True,True,True
blocked_temporal_70_30,1,20260625,label_permutation_residual,real,True,True,True,True
blocked_temporal_70_30,1,20260625,train_only_video_mean_residual,train_only_video_mean,True,True,True,True
blocked_temporal_70_30,1,20260625,diagnostics_only_residual,omitted_diagnostics_only,True,True,True,True
blocked_temporal_70_30,1,20260626,real_residual,real,True,True,True,True
blocked_temporal_70_30,1,20260626,shuffled_pca_residual,shuffled_train_and_test_separately,True,True,True,True
blocked_temporal_70_30,1,20260626,random_pca_residual,random_gaussian_matched_shape,True,True,True,True
blocked_temporal_70_30,1,20260626,label_permutation_residual,real,True,True,True,True
blocked_temporal_70_30,1,20260626,train_only_video_mean_residual,train_only_video_mean,True,True,True,True
blocked_temporal_70_30,1,20260626,diagnostics_only_residual,omitted_diagnostics_only,True,True,True,True
blocked_temporal_70_30,1,20260627,real_residual,real,True,True,True,True
blocked_temporal_70_30,1,20260627,shuffled_pca_residual,shuffled_train_and_test_separately,True,True,True,True
blocked_temporal_70_30,1,20260627,random_pca_residual,random_gaussian_matched_shape,True,True,True,True
blocked_temporal_70_30,1,20260627,label_permutation_residual,real,True,True,True,True
blocked_temporal_70_30,1,20260627,train_only_video_mean_residual,train_only_video_mean,True,True,True,True
blocked_temporal_70_30,1,20260627,diagnostics_only_residual,omitted_diagnostics_only,True,True,True,True
blocked_temporal_70_30,1,20260628,real_residual,real,True,True,True,True
blocked_temporal_70_30,1,20260628,shuffled_pca_residual,shuffled_train_and_test_separately,True,True,True,True
blocked_temporal_70_30,1,20260628,random_pca_residual,random_gaussian_matched_shape,True,True,True,True
blocked_temporal_70_30,1,20260628,label_permutation_residual,real,True,True,True,True
blocked_temporal_70_30,1,20260628,train_only_video_mean_residual,train_only_video_mean,True,True,True,True
blocked_temporal_70_30,1,20260628,diagnostics_only_residual,omitted_diagnostics_only,True,True,True,True
blocked_temporal_70_30,1,20260629,real_residual,real,True,True,True,True
blocked_temporal_70_30,1,20260629,shuffled_pca_residual,shuffled_train_and_test_separately,True,True,True,True
blocked_temporal_70_30,1,20260629,random_pca_residual,random_gaussian_matched_shape,True,True,True,True
blocked_temporal_70_30,1,20260629,label_permutation_residual,real,True,True,True,True
blocked_temporal_70_30,1,20260629,train_only_video_mean_residual,train_only_video_mean,True,True,True,True
blocked_temporal_70_30,1,20260629,diagnostics_only_residual,omitted_diagnostics_only,True,True,True,True
blocked_temporal_70_30,1,20260630,real_residual,real,True,True,True,True
blocked_temporal_70_30,1,20260630,shuffled_pca_residual,shuffled_train_and_test_separately,True,True,True,True
