protocol,lane,scored_rows,mean_pr_auc,std_pr_auc,min_pr_auc,max_pr_auc
blocked_temporal_70_30,frozen_ar_only,10,0.2602336231467851,0.00618333547703449,0.245547773565332,0.268556795044912
blocked_temporal_70_30,real_residual,10,0.2670735630128728,0.007039354914748226,0.2531806678605329,0.2770178562122585
blocked_temporal_70_30,shuffled_pca_residual,10,0.2590884107181962,0.006295992093503967,0.2437487138119473,0.2665303349257848
blocked_temporal_70_30,random_pca_residual,10,0.25933690514019603,0.006555630988327161,0.2439230621105783,0.2686695182168087
blocked_temporal_70_30,label_permutation_residual,10,0.25832681946156677,0.006469010735658546,0.2452151874882132,0.2684473856717601
blocked_temporal_70_30,train_only_video_mean_residual,10,0.25666257094389805,0.009292694290478132,0.2378221393162266,0.2686103814414409
blocked_temporal_70_30,diagnostics_only_residual,10,0.25872459647335844,0.0076363607766135625,0.242744960021355,0.268556795044912
grouped_video,frozen_ar_only,50,0.2174953275567387,0.01120843322888405,0.1974370352818053,0.2306983743479863
grouped_video,real_residual,50,0.2313831909105222,0.015405476358840105,0.203648513037121,0.2588608433517025
grouped_video,shuffled_pca_residual,50,0.21740275638371326,0.011180509876746271,0.1973513212105409,0.2305566828081255
grouped_video,random_pca_residual,50,0.21739637978836643,0.011186473340926126,0.1973289022787957,0.2305526221295862
grouped_video,label_permutation_residual,50,0.215309977468055,0.012292338504356686,0.1880518537778953,0.2306802536809016
grouped_video,train_only_video_mean_residual,50,0.21742099366850393,0.011187941762829256,0.1973506235822107,0.2305790867286655
grouped_video,diagnostics_only_residual,50,0.218688424857493,0.010687446262947965,0.1980187131432653,0.2305350738038087
