model,seed,epoch,inner_val_pr_auc,target_name,target_type,architecture,control_type,train_loss,inner_val_selection_metric,inner_val_delta_vs_frozen_ar,selection_metric_name,alpha,gate_mean,gate_p95,label_policy
frozen_ar,20260640,1,0.10785003992040386,,,,,,,,,,,,
frozen_ar,20260640,2,0.20355479279001787,,,,,,,,,,,,
frozen_ar,20260640,3,0.21410139647829377,,,,,,,,,,,,
frozen_ar,20260640,4,0.21575799315579458,,,,,,,,,,,,
frozen_ar,20260640,5,0.2158470521666715,,,,,,,,,,,,
frozen_ar,20260640,6,0.215926778459035,,,,,,,,,,,,
frozen_ar,20260640,7,0.21614368699386383,,,,,,,,,,,,
frozen_ar,20260640,8,0.21746136014374762,,,,,,,,,,,,
frozen_ar,20260640,9,0.21842831240303834,,,,,,,,,,,,
frozen_ar,20260640,10,0.21969349307103997,,,,,,,,,,,,
frozen_ar,20260640,11,0.22073758111507055,,,,,,,,,,,,
frozen_ar,20260640,12,0.2212511624179295,,,,,,,,,,,,
frozen_ar,20260640,13,0.22175125252592287,,,,,,,,,,,,
frozen_ar,20260640,14,0.22212682071259304,,,,,,,,,,,,
frozen_ar,20260640,15,0.2227511416369019,,,,,,,,,,,,
frozen_ar,20260640,16,0.22274246894531677,,,,,,,,,,,,
frozen_ar,20260640,17,0.22284885802619303,,,,,,,,,,,,
frozen_ar,20260640,18,0.22291942814833407,,,,,,,,,,,,
frozen_ar,20260640,19,0.2230382524801081,,,,,,,,,,,,
frozen_ar,20260640,20,0.22216311538161473,,,,,,,,,,,,
frozen_ar,20260640,21,0.22203671769772954,,,,,,,,,,,,
frozen_ar,20260640,22,0.22324090644488395,,,,,,,,,,,,
frozen_ar,20260640,23,0.2227442692261723,,,,,,,,,,,,
frozen_ar,20260640,24,0.22171130118150004,,,,,,,,,,,,
frozen_ar,20260640,25,0.22323753054928622,,,,,,,,,,,,
frozen_ar,20260640,26,0.2228396534358699,,,,,,,,,,,,
frozen_ar,20260640,27,0.22235122285924516,,,,,,,,,,,,
frozen_ar,20260640,28,0.22207854021316337,,,,,,,,,,,,
frozen_ar,20260640,29,0.22481126256801698,,,,,,,,,,,,
frozen_ar,20260640,30,0.22442045108970676,,,,,,,,,,,,
frozen_ar,20260640,31,0.22218177030038255,,,,,,,,,,,,
frozen_ar,20260640,32,0.2241062228183304,,,,,,,,,,,,
frozen_ar,20260640,33,0.22407541805627884,,,,,,,,,,,,
frozen_ar,20260640,34,0.22451001992194294,,,,,,,,,,,,
frozen_ar,20260640,35,0.22461851318986456,,,,,,,,,,,,
frozen_ar,20260640,36,0.2241213150804504,,,,,,,,,,,,
frozen_ar,20260640,37,0.22483717389368263,,,,,,,,,,,,
frozen_ar,20260640,38,0.2246557937807245,,,,,,,,,,,,
frozen_ar,20260640,39,0.22447008533382493,,,,,,,,,,,,
frozen_ar,20260640,40,0.22270017001509276,,,,,,,,,,,,
frozen_ar,20260640,41,0.2230534329010784,,,,,,,,,,,,
frozen_ar,20260640,42,0.22634945329030548,,,,,,,,,,,,
frozen_ar,20260640,43,0.2238010323245109,,,,,,,,,,,,
frozen_ar,20260640,44,0.22434791706191495,,,,,,,,,,,,
frozen_ar,20260640,45,0.22483509322374512,,,,,,,,,,,,
frozen_ar,20260640,46,0.22505519828358286,,,,,,,,,,,,
frozen_ar,20260640,47,0.2231940057859917,,,,,,,,,,,,
frozen_ar,20260640,48,0.22620453328969348,,,,,,,,,,,,
frozen_ar,20260640,49,0.2262069103516346,,,,,,,,,,,,
frozen_ar,20260640,50,0.2244927714165152,,,,,,,,,,,,
frozen_ar,20260640,51,0.22538805054823582,,,,,,,,,,,,
frozen_ar,20260640,52,0.22600275121969798,,,,,,,,,,,,
frozen_ar,20260640,53,0.2257211167512181,,,,,,,,,,,,
frozen_ar,20260640,54,0.22612866981317004,,,,,,,,,,,,
original,20260640,1,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.15720453206449747,0.2264079258461541,5.847255584862099e-05,inner_val_pr_auc_delta_vs_frozen_ar,0.0021431189961731434,0.01975869946181774,0.04342973604798317,true_train_and_true_inner_val_selection
original,20260640,2,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.15740872640162706,0.22640823794130616,5.87846510006762e-05,inner_val_pr_auc_delta_vs_frozen_ar,0.002162894234061241,0.030746353790163994,0.11697821319103241,true_train_and_true_inner_val_selection
original,20260640,3,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.15689594764262438,0.22660548692752158,0.00025603363721610206,inner_val_pr_auc_delta_vs_frozen_ar,0.0022084838710725307,0.07965897023677826,0.5212888717651367,true_train_and_true_inner_val_selection
original,20260640,4,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.1569246370345354,0.22734114878287343,0.0009916954925679455,inner_val_pr_auc_delta_vs_frozen_ar,0.0022585380356758833,0.09662975370883942,0.6835632920265198,true_train_and_true_inner_val_selection
original,20260640,5,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.15680411644279957,0.22859862579995555,0.002249172509650066,inner_val_pr_auc_delta_vs_frozen_ar,0.0023082750849425793,0.08513476699590683,0.5708854794502258,true_train_and_true_inner_val_selection
original,20260640,6,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.1566285165026784,0.23026404899111835,0.003914595700812873,inner_val_pr_auc_delta_vs_frozen_ar,0.002353779738768935,0.0874311551451683,0.5939350128173828,true_train_and_true_inner_val_selection
original,20260640,7,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.15617207996547222,0.23236092361350577,0.006011470323200291,inner_val_pr_auc_delta_vs_frozen_ar,0.0023986517917364836,0.09263830631971359,0.6404627561569214,true_train_and_true_inner_val_selection
original,20260640,8,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.15536535810679197,0.23505731107506322,0.008707857784757744,inner_val_pr_auc_delta_vs_frozen_ar,0.0024440945126116276,0.09826347231864929,0.7001039385795593,true_train_and_true_inner_val_selection
original,20260640,9,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.1547425901517272,0.23846302439005412,0.012113571099748643,inner_val_pr_auc_delta_vs_frozen_ar,0.002489699050784111,0.10307405143976212,0.7457732558250427,true_train_and_true_inner_val_selection
original,20260640,10,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.15400431863963604,0.24151604569275908,0.015166592402453605,inner_val_pr_auc_delta_vs_frozen_ar,0.00253189611248672,0.10551203787326813,0.7643412351608276,true_train_and_true_inner_val_selection
original,20260640,11,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.15355467051267624,0.24255891174487043,0.01620945845456495,inner_val_pr_auc_delta_vs_frozen_ar,0.0025661098770797253,0.10800375789403915,0.7847840189933777,true_train_and_true_inner_val_selection
original,20260640,12,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.15324307698756456,0.24220866155999585,0.015859208269690367,inner_val_pr_auc_delta_vs_frozen_ar,0.002593487733975053,0.11116551607847214,0.7973453402519226,true_train_and_true_inner_val_selection
original,20260640,13,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.1527374843135476,0.2416638374032386,0.015314384112933122,inner_val_pr_auc_delta_vs_frozen_ar,0.002614741213619709,0.11429057270288467,0.815991997718811,true_train_and_true_inner_val_selection
original,20260640,14,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.15248549543321133,0.2417244880121547,0.015375034721849229,inner_val_pr_auc_delta_vs_frozen_ar,0.002633049851283431,0.11768753826618195,0.8321212530136108,true_train_and_true_inner_val_selection
original,20260640,15,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.1521208519116044,0.24093049806198152,0.014581044771676044,inner_val_pr_auc_delta_vs_frozen_ar,0.0026507312431931496,0.11883290112018585,0.8435234427452087,true_train_and_true_inner_val_selection
original,20260640,16,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.15174611378461123,0.24018849610592172,0.013839042815616237,inner_val_pr_auc_delta_vs_frozen_ar,0.00266818143427372,0.12063582986593246,0.854826033115387,true_train_and_true_inner_val_selection
original,20260640,17,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.1518139997497201,0.23959778050959638,0.013248327219290895,inner_val_pr_auc_delta_vs_frozen_ar,0.002685912884771824,0.1232665404677391,0.8680195212364197,true_train_and_true_inner_val_selection
original,20260640,18,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.15175359789282084,0.23901377033508736,0.012664317044781881,inner_val_pr_auc_delta_vs_frozen_ar,0.0027039488777518272,0.12405990809202194,0.8780385255813599,true_train_and_true_inner_val_selection
original,20260640,19,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.15107683558017015,0.23869395724818396,0.012344503957878478,inner_val_pr_auc_delta_vs_frozen_ar,0.0027241529896855354,0.1261688470840454,0.8894566893577576,true_train_and_true_inner_val_selection
trial4,20260640,1,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.24806958250701427,0.22641765500708133,6.820171677585085e-05,inner_val_pr_auc_delta_vs_frozen_ar,0.0037872190587222576,0.026535699144005775,0.08874170482158661,true_train_and_true_inner_val_selection
trial4,20260640,2,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.24826915375888348,0.22757839254295792,0.001228939252652439,inner_val_pr_auc_delta_vs_frozen_ar,0.003889929037541151,0.09171982109546661,0.6299223899841309,true_train_and_true_inner_val_selection
trial4,20260640,3,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.24673311319202185,0.2325834458255686,0.006233992535263133,inner_val_pr_auc_delta_vs_frozen_ar,0.004004389047622681,0.08081018924713135,0.5253234505653381,true_train_and_true_inner_val_selection
trial4,20260640,4,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.24493656307458878,0.24225402018553313,0.01590456689522765,inner_val_pr_auc_delta_vs_frozen_ar,0.004124149680137634,0.09455840289592743,0.6557992696762085,true_train_and_true_inner_val_selection
trial4,20260640,5,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.24286561273038387,0.2406235809030397,0.014274127612734222,inner_val_pr_auc_delta_vs_frozen_ar,0.004207297693938017,0.08925659209489822,0.6154800653457642,true_train_and_true_inner_val_selection
trial4,20260640,6,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.2419494418427348,0.23963693844573922,0.013287485155433737,inner_val_pr_auc_delta_vs_frozen_ar,0.004244948737323284,0.09780427068471909,0.6920563578605652,true_train_and_true_inner_val_selection
trial4,20260640,7,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.24097575899213552,0.23798938458000338,0.011639931289697897,inner_val_pr_auc_delta_vs_frozen_ar,0.004286882933229208,0.09797830134630203,0.6998368501663208,true_train_and_true_inner_val_selection
trial4,20260640,8,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.23961798381060362,0.23684046431675473,0.010491011026449254,inner_val_pr_auc_delta_vs_frozen_ar,0.004336811602115631,0.1026470735669136,0.7362102270126343,true_train_and_true_inner_val_selection
trial4,20260640,9,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.23879947047680616,0.23599661293247254,0.009647159642167058,inner_val_pr_auc_delta_vs_frozen_ar,0.004390263929963112,0.10581047087907791,0.7682089805603027,true_train_and_true_inner_val_selection
trial4,20260640,10,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.237865443341434,0.23461188530918092,0.008262432018875443,inner_val_pr_auc_delta_vs_frozen_ar,0.004449520725756884,0.10779458284378052,0.7926480174064636,true_train_and_true_inner_val_selection
trial4,20260640,11,,future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,real_residual,0.23707358352839947,0.23391414205358557,0.007564688763280092,inner_val_pr_auc_delta_vs_frozen_ar,0.004506999626755714,0.11028668284416199,0.8216143846511841,true_train_and_true_inner_val_selection
