trial,state,value,hidden,learning_rate,weight_decay,alpha_initial_logit,alpha_cap,gate_bias,lambda_binary
0,COMPLETE,0.014864027995061674,64,0.0002,0.0001,-4.0,0.12,4.0,0.5
1,COMPLETE,0.014360908684680651,64,0.00014344778158545204,0.00010139997455759026,-4.0,0.12,3.0,0.65
2,COMPLETE,0.014629367165276741,128,0.0002531671777197175,5.775708321616963e-05,-3.0,0.16,3.0,0.65
3,COMPLETE,0.015412996942504226,96,0.00018679470751662485,5.573472802672437e-05,-4.0,0.2,3.0,0.65
4,COMPLETE,0.014283148051418532,96,0.00032435704193869015,2.2279907045830404e-05,-5.0,0.2,4.0,0.5
5,COMPLETE,0.016278836155401488,64,0.0001235324047317842,8.502619858718119e-05,-3.0,0.12,4.0,0.8
6,COMPLETE,0.014505597129812448,64,0.00019594066664724272,6.495999744643461e-05,-4.0,0.08,4.0,0.5
7,COMPLETE,0.014901492155576734,48,0.0004239532056928513,2.1522844605452524e-05,-4.0,0.2,5.0,0.35
8,COMPLETE,0.015591046020207805,128,0.0002065253309368671,8.161277028969292e-05,-5.0,0.2,5.0,0.35
9,COMPLETE,0.013951716186136137,48,0.00012516604261699458,0.0004998783471947409,-5.0,0.2,4.0,0.35
10,COMPLETE,0.01627391967845576,64,8.322415668309007e-05,0.0003317615466314023,-3.0,0.12,4.0,0.8
11,COMPLETE,0.01629827888979521,64,8.576853774295888e-05,0.0003796702865377024,-3.0,0.12,4.0,0.8
12,COMPLETE,0.01629951714828773,64,8.621924245057642e-05,0.00021946144732850405,-3.0,0.12,4.0,0.8
13,COMPLETE,0.016268383517959506,64,8.053496895530755e-05,0.00021987579756041465,-3.0,0.12,4.0,0.8
14,COMPLETE,0.0173822388329328,64,0.00010027908309849813,0.00019045810531849677,-3.0,0.16,5.0,0.8
15,COMPLETE,0.017383643255950598,64,0.00010528366155183298,0.00020452569809101856,-3.0,0.16,5.0,0.8
