fold,group,diagnostics_only_residual_ensemble,frozen_ar_ensemble,label_permutation_residual_ensemble,random_pca_residual_ensemble,real_residual_ensemble,shuffled_pca_residual_ensemble,train_only_video_mean_residual_ensemble,best_matched_control,real_minus_ar,real_minus_best_control,member_real_mean,real_minus_member_mean
1,1,0.22539980456543085,0.2246693377496361,0.22468076923542607,0.22464352268730506,0.24166083134801689,0.22441951255605777,0.22468402269775234,0.22468402269775234,0.016991493598380786,0.016976808650264547,0.23263268994768213,0.009028141400334755
1,2,0.2252559511474311,0.22429182459577063,0.22380983021122985,0.22433554912759307,0.2395837636411588,0.22433940333139535,0.22430703751458414,0.22433940333139535,0.01529193904538817,0.01524436030976345,0.23396683405201105,0.005616929589147751
1,3,0.22439167403077948,0.22330430009473873,0.22055551976010768,0.22321800520754026,0.2390869833166992,0.2233595728834944,0.223346405355923,0.2233595728834944,0.01578268322196047,0.015727410433204803,0.22707865087573087,0.012008332440968328
2,1,0.20836505439089217,0.20802228837734782,0.20568211304064915,0.20771345153237405,0.22165237054363926,0.20767805828173747,0.20772264648463679,0.20772264648463679,0.01363008216629144,0.013929724059002474,0.2180765159857502,0.0035758545578890577
2,2,0.209476129153512,0.20791872891323798,0.2039658671388059,0.2077263122324476,0.21154399511155766,0.2077060266429399,0.20774978959554036,0.20774978959554036,0.003625266198319682,0.003794205516017307,0.2113651433709516,0.00017885174060605635
2,3,0.21097810773310707,0.20756000097669552,0.20532654992112515,0.207339037193947,0.2347565212188666,0.20735444681578497,0.20736416399271254,0.20736416399271254,0.027196520242171063,0.027392357226154046,0.22479798586539826,0.009958535353468329
3,1,0.20497726892634874,0.20204034338727672,0.20304183346997254,0.20202836963462825,0.2138272348299014,0.2020012052566576,0.20205892623268357,0.20304183346997254,0.01178689144262468,0.010785401359928865,0.2062767749334726,0.007550459896428802
3,2,0.2075452597452407,0.20507449537177852,0.2057703867521092,0.20515748204226059,0.21328742031646689,0.2051619227368014,0.2051670454175103,0.2057703867521092,0.008212924944688366,0.007517033564357678,0.20874050893919213,0.004546911377274754
3,3,0.2026312571390596,0.19955724053702506,0.19984192998735945,0.19948430669661063,0.21151732677295904,0.19952200434579578,0.19951087608115337,0.19984192998735945,0.011960086235933975,0.01167539678559959,0.19941542909225182,0.012101897680707213
4,1,0.2283889433219479,0.226541249883704,0.22654256637577636,0.22644272331985826,0.2510649817249119,0.22645299420715517,0.22651368871950323,0.22654256637577636,0.024523731841207874,0.024522415349135518,0.2431674113315666,0.007897570393345266
4,2,0.2278317593657586,0.2261299975552979,0.2260908384471573,0.22602359572369216,0.25212868974065644,0.22599193811559792,0.22606973003466027,0.2260908384471573,0.025998692185358552,0.026037851293499142,0.24190122885976625,0.010227460880890188
4,3,0.22751227353897896,0.22541802632299007,0.22287010923012984,0.22520202752602134,0.25783767924779805,0.22520350206471915,0.2253033493628824,0.2253033493628824,0.03241965292480797,0.03253432988491564,0.24437994972247576,0.013457729525322287
5,1,0.23109190873179858,0.23063028541926614,0.22932343350450946,0.23047714944671882,0.24399263289079043,0.23047489611847582,0.2304847213953189,0.2304847213953189,0.013362347471524288,0.013507911495471536,0.2360517570367906,0.00794087585399983
5,2,0.2303232475765459,0.22973635093234032,0.22633723969928093,0.2295956344109666,0.24009821042703214,0.22956218395153793,0.2296028283543034,0.2296028283543034,0.010361859494691816,0.010495382072728737,0.23317589322611507,0.006922317200917072
5,3,0.2304844553178984,0.22985238838993194,0.2284418565366741,0.2296931645525499,0.2434748785544255,0.22871685068750766,0.22968973642473087,0.2296931645525499,0.013622490164493573,0.013781714001875611,0.23118565634576602,0.012289222208659495
