trial,state,value,hidden,learning_rate,weight_decay,alpha_initial_logit,alpha_cap,gate_bias,lambda_binary,max_epochs,patience
0,COMPLETE,0.015908373862321246,64,0.0002,0.0001,-4.0,0.12,4.0,0.5,40,8
1,COMPLETE,0.015621360449896775,96,0.0002644456837902334,0.00010603907516773385,-3.0,0.2,3.0,0.5,60,12
2,COMPLETE,0.015522373822849387,96,0.00020788409859868762,7.940458038693392e-05,-4.0,0.12,4.0,0.65,60,12
3,COMPLETE,0.0059096439976684114,48,0.00021002300586218044,3.6261334512587976e-05,-3.0,0.12,5.0,0.65,60,8
4,COMPLETE,0.015945573634322214,96,0.0002796515604869101,0.00015731894101489417,-3.0,0.08,4.0,0.8,60,8
5,COMPLETE,0.010959629916351485,128,0.0003115569087232963,0.00042324908877440043,-3.0,0.12,5.0,0.35,40,12
6,COMPLETE,0.015027448245738656,96,0.0003649320854378401,0.00010624008040249843,-3.0,0.08,3.0,0.35,40,12
7,COMPLETE,0.014079309753071412,128,9.057134771340334e-05,5.4519274181944595e-05,-5.0,0.2,3.0,0.35,60,12
8,COMPLETE,0.0033068656419922514,48,9.606020726321306e-05,6.099893985844779e-05,-5.0,0.12,5.0,0.65,60,8
9,COMPLETE,0.014806287977295156,64,0.00011049549680286265,2.102810428328826e-05,-3.0,0.08,3.0,0.5,60,12
10,COMPLETE,0.014022815986636494,96,0.0004906020656003511,0.000330221112579061,-4.0,0.16,4.0,0.8,40,8
11,COMPLETE,0.0152486419178423,64,0.0001595011901267026,0.0002100505303330971,-4.0,0.08,4.0,0.8,40,8
12,COMPLETE,0.016349032168609542,64,0.00015343784139808185,0.00017765141354718562,-4.0,0.16,4.0,0.5,40,8
13,COMPLETE,0.015956227442633773,64,0.00012786915536436609,0.0002137427175124298,-4.0,0.16,4.0,0.8,40,8
14,COMPLETE,0.016419728490679852,64,0.00012530392464175653,0.00021217370936876646,-4.0,0.16,4.0,0.5,40,8
15,COMPLETE,0.016382990890137797,64,0.00012867929597786264,0.00027621283735929114,-4.0,0.16,4.0,0.5,40,8
16,COMPLETE,0.01641505663506979,64,0.00012399343870997382,0.00030690357995877,-4.0,0.16,4.0,0.5,40,8
17,COMPLETE,0.006099151150287586,64,8.570309845369369e-05,0.00037751163238392574,-5.0,0.16,4.0,0.5,40,8
18,COMPLETE,0.016371625085432936,64,0.00015977175484507944,0.0004713213900724411,-4.0,0.16,4.0,0.5,40,8
19,COMPLETE,0.0061259145384370585,48,0.00011278894711631982,0.00013901201435770086,-4.0,0.16,5.0,0.5,40,8
20,COMPLETE,0.015627083249150117,128,0.00013542817124076212,0.00019681017470611604,-4.0,0.16,4.0,0.5,40,8
21,COMPLETE,0.016516657295919928,64,0.00011209782969567543,0.0002958354488095014,-4.0,0.16,4.0,0.5,40,8
22,COMPLETE,0.0166151902400242,64,0.00011011146493254943,0.0002529065003944875,-4.0,0.16,4.0,0.5,40,8
23,COMPLETE,0.016605656679584836,64,0.00010015435119398297,0.0002430394087333822,-4.0,0.16,4.0,0.5,40,8
