stage,split_digest,fold_or_panel,lane,row_type,seed_or_group,cold_start_policy
stage_a,6aa886313575984461132d66221412f2,1,video_distilled_temporal,member,20260718,zero_padded_same_video_history_with_masks
stage_a,6aa886313575984461132d66221412f2,1,video_distilled_temporal,member,20260719,zero_padded_same_video_history_with_masks
stage_a,6aa886313575984461132d66221412f2,1,video_distilled_temporal,member,20260720,zero_padded_same_video_history_with_masks
stage_a,6aa886313575984461132d66221412f2,1,video_distilled_temporal,ensemble,"20260718,20260719,20260720",zero_padded_same_video_history_with_masks
stage_a,6aa886313575984461132d66221412f2,1,video_closed_loop_rollout,member,20260718,self_prediction_state_train_median_init_video_reset
stage_a,6aa886313575984461132d66221412f2,1,video_closed_loop_rollout,member,20260719,self_prediction_state_train_median_init_video_reset
stage_a,6aa886313575984461132d66221412f2,1,video_closed_loop_rollout,member,20260720,self_prediction_state_train_median_init_video_reset
stage_a,6aa886313575984461132d66221412f2,1,video_closed_loop_rollout,ensemble,"20260718,20260719,20260720",self_prediction_state_train_median_init_video_reset
stage_a,6aa886313575984461132d66221412f2,1,video_supervised_temporal,member,20260718,zero_padded_same_video_history_with_masks
stage_a,6aa886313575984461132d66221412f2,1,video_supervised_temporal,member,20260719,zero_padded_same_video_history_with_masks
stage_a,6aa886313575984461132d66221412f2,1,video_supervised_temporal,member,20260720,zero_padded_same_video_history_with_masks
stage_a,6aa886313575984461132d66221412f2,1,video_supervised_temporal,ensemble,"20260718,20260719,20260720",zero_padded_same_video_history_with_masks
stage_a,6aa886313575984461132d66221412f2,1,video_supervised_current_row,member,20260718,zero_padded_same_video_history_with_masks
stage_a,6aa886313575984461132d66221412f2,1,video_supervised_current_row,member,20260719,zero_padded_same_video_history_with_masks
stage_a,6aa886313575984461132d66221412f2,1,video_supervised_current_row,member,20260720,zero_padded_same_video_history_with_masks
stage_a,6aa886313575984461132d66221412f2,1,video_supervised_current_row,ensemble,"20260718,20260719,20260720",zero_padded_same_video_history_with_masks
stage_a,6aa886313575984461132d66221412f2,1,no_video_closed_loop_persistence,member,20260718,self_prediction_state_train_median_init_video_reset
stage_a,6aa886313575984461132d66221412f2,1,no_video_closed_loop_persistence,member,20260719,self_prediction_state_train_median_init_video_reset
