video_id,video_name,video_path,extension,game,participant_id,session_id,video_duration_seconds,annotation_duration_seconds,video_minus_annotation_seconds,abs_mismatch_seconds,near_plus_3s,near_minus_3s,near_0s,selection_reasons,contact_sheet_path,annotation_first_timestamp,annotation_last_timestamp,annotation_sampling_step_seconds,duplicated_timestamps,missing_timestamps,annotation_starts_at_zero,annotation_stops_roughly_3s_before_video_end,annotation_start_plus_3_aligns_end,trim_first_3s_aligns_duration,trim_last_3s_aligns_duration,first_3s_static_or_black,last_3s_static_or_black,pre_roll_evidence,post_roll_evidence
5F222604-CB86-1ABA-EB7B-31FF78B7BE93_fps_C697A0AC-C316-A3C7-1E20-9767B3E5600D,5F222604-CB86-1ABA-EB7B-31FF78B7BE93_fps_C697A0AC-C316-A3C7-1E20-9767B3E5600D.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/5F222604-CB86-1ABA-EB7B-31FF78B7BE93_fps_C697A0AC-C316-A3C7-1E20-9767B3E5600D.webm,.webm,Heist!,5F222604-CB86-1ABA-EB7B-31FF78B7BE93,C697A0AC-C316-A3C7-1E20-9767B3E5600D,125.378,122.31416,3.063839999999999,3.063839999999999,True,False,False,closest_to_median,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/5F222604-CB86-1ABA-EB7B-31FF78B7BE93_fps_C697A0AC-C316-A3C7-1E20-9767B3E5600D.jpg,0.0,122.31416,0.2748999999999988,61,0,True,True,True,True,True,True,True,False,False
772BA0E9-AC30-CEA6-AA1B-18A0300702AA_gallery_AD495E56-6CDA-C100-1557-C6D2922FF843,772BA0E9-AC30-CEA6-AA1B-18A0300702AA_gallery_AD495E56-6CDA-C100-1557-C6D2922FF843.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/772BA0E9-AC30-CEA6-AA1B-18A0300702AA_gallery_AD495E56-6CDA-C100-1557-C6D2922FF843.webm,.webm,Shootout,772BA0E9-AC30-CEA6-AA1B-18A0300702AA,AD495E56-6CDA-C100-1557-C6D2922FF843,124.866,121.80372,3.0622800000000012,3.0622800000000012,True,False,False,closest_to_median,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/772BA0E9-AC30-CEA6-AA1B-18A0300702AA_gallery_AD495E56-6CDA-C100-1557-C6D2922FF843.jpg,0.0,121.80372,0.2553000000000054,11,0,True,True,True,True,True,True,True,False,False
8322EDEF-4C09-318A-1B7E-56D62A6839AD_endless_DBD868B7-F648-F70A-2DB2-DF3E78B79A97,8322EDEF-4C09-318A-1B7E-56D62A6839AD_endless_DBD868B7-F648-F70A-2DB2-DF3E78B79A97.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/8322EDEF-4C09-318A-1B7E-56D62A6839AD_endless_DBD868B7-F648-F70A-2DB2-DF3E78B79A97.webm,.webm,Endless,8322EDEF-4C09-318A-1B7E-56D62A6839AD,DBD868B7-F648-F70A-2DB2-DF3E78B79A97,125.823,122.7595,3.0634999999999906,3.0634999999999906,True,False,False,closest_to_median,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/8322EDEF-4C09-318A-1B7E-56D62A6839AD_endless_DBD868B7-F648-F70A-2DB2-DF3E78B79A97.jpg,0.0,122.7595,0.2560000000000002,12,0,True,True,True,True,True,False,True,False,True
94AA1B20-A5D9-F2B4-FD96-2F20A00FAE89_gallery_A2FD1DBA-2F70-8FF1-5E50-DD8D3E22289C,94AA1B20-A5D9-F2B4-FD96-2F20A00FAE89_gallery_A2FD1DBA-2F70-8FF1-5E50-DD8D3E22289C.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/94AA1B20-A5D9-F2B4-FD96-2F20A00FAE89_gallery_A2FD1DBA-2F70-8FF1-5E50-DD8D3E22289C.webm,.webm,Shootout,94AA1B20-A5D9-F2B4-FD96-2F20A00FAE89,A2FD1DBA-2F70-8FF1-5E50-DD8D3E22289C,124.926,121.86282,3.0631800000000027,3.0631800000000027,True,False,False,closest_to_median,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/94AA1B20-A5D9-F2B4-FD96-2F20A00FAE89_gallery_A2FD1DBA-2F70-8FF1-5E50-DD8D3E22289C.jpg,0.12498,121.9878,0.25619999999999976,13,0,True,True,True,True,True,True,True,False,False
A135AF2A-692D-9C83-AB54-34F977E4D14D_endless_C090FF31-267B-F7FB-BB2F-D6A4D73B0BE6,A135AF2A-692D-9C83-AB54-34F977E4D14D_endless_C090FF31-267B-F7FB-BB2F-D6A4D73B0BE6.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/A135AF2A-692D-9C83-AB54-34F977E4D14D_endless_C090FF31-267B-F7FB-BB2F-D6A4D73B0BE6.webm,.webm,Endless,A135AF2A-692D-9C83-AB54-34F977E4D14D,C090FF31-267B-F7FB-BB2F-D6A4D73B0BE6,125.864,122.8011,3.062899999999999,3.062899999999999,True,False,False,closest_to_median,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/A135AF2A-692D-9C83-AB54-34F977E4D14D_endless_C090FF31-267B-F7FB-BB2F-D6A4D73B0BE6.jpg,0.0,122.8011,0.25390000000000157,7,0,True,True,True,True,True,False,True,False,True
B0AAFE06-91C2-2C6D-4547-7508BB719E45_gun_A65112C8-01A8-CCF9-8541-64B569AFF894,B0AAFE06-91C2-2C6D-4547-7508BB719E45_gun_A65112C8-01A8-CCF9-8541-64B569AFF894.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/B0AAFE06-91C2-2C6D-4547-7508BB719E45_gun_A65112C8-01A8-CCF9-8541-64B569AFF894.webm,.webm,Run'N'Gun,B0AAFE06-91C2-2C6D-4547-7508BB719E45,A65112C8-01A8-CCF9-8541-64B569AFF894,128.866,125.8033,3.062700000000021,3.062700000000021,True,False,False,closest_to_median,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/B0AAFE06-91C2-2C6D-4547-7508BB719E45_gun_A65112C8-01A8-CCF9-8541-64B569AFF894.jpg,0.0,125.8033,0.2588000000000008,28,0,True,True,True,True,True,True,False,True,False
B17DF37B-207D-A052-4D45-F862B3BF4C4C_apex_212034DA-3D73-E3F7-7D60-100EDA5FFEAB,B17DF37B-207D-A052-4D45-F862B3BF4C4C_apex_212034DA-3D73-E3F7-7D60-100EDA5FFEAB.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/B17DF37B-207D-A052-4D45-F862B3BF4C4C_apex_212034DA-3D73-E3F7-7D60-100EDA5FFEAB.webm,.webm,ApexSpeed,B17DF37B-207D-A052-4D45-F862B3BF4C4C,212034DA-3D73-E3F7-7D60-100EDA5FFEAB,125.839,122.77596,3.063040000000001,3.063040000000001,True,False,False,closest_to_median,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/B17DF37B-207D-A052-4D45-F862B3BF4C4C_apex_212034DA-3D73-E3F7-7D60-100EDA5FFEAB.jpg,0.0,122.77596,0.2685999999999993,45,0,True,True,True,True,True,False,False,False,False
B6EE5F90-8F59-D3CF-C449-59216B28207B_fps_B544C913-70BE-6B19-4D48-8B005AB5DE1B,B6EE5F90-8F59-D3CF-C449-59216B28207B_fps_B544C913-70BE-6B19-4D48-8B005AB5DE1B.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/B6EE5F90-8F59-D3CF-C449-59216B28207B_fps_B544C913-70BE-6B19-4D48-8B005AB5DE1B.webm,.webm,Heist!,B6EE5F90-8F59-D3CF-C449-59216B28207B,B544C913-70BE-6B19-4D48-8B005AB5DE1B,125.262,122.1979,3.0640999999999963,3.0640999999999963,True,False,False,closest_to_median,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/B6EE5F90-8F59-D3CF-C449-59216B28207B_fps_B544C913-70BE-6B19-4D48-8B005AB5DE1B.jpg,0.0,122.1979,0.2694499999999991,43,0,True,True,True,True,True,False,True,False,True
D0F7ABC0-F552-63CD-CAC6-6703C39B83CA_endless_536F0792-E386-C985-C5A4-36DDC461F910,D0F7ABC0-F552-63CD-CAC6-6703C39B83CA_endless_536F0792-E386-C985-C5A4-36DDC461F910.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/D0F7ABC0-F552-63CD-CAC6-6703C39B83CA_endless_536F0792-E386-C985-C5A4-36DDC461F910.webm,.webm,Endless,D0F7ABC0-F552-63CD-CAC6-6703C39B83CA,536F0792-E386-C985-C5A4-36DDC461F910,125.855,122.7919,3.0631000000000057,3.0631000000000057,True,False,False,closest_to_median,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/D0F7ABC0-F552-63CD-CAC6-6703C39B83CA_endless_536F0792-E386-C985-C5A4-36DDC461F910.jpg,0.1207,122.9126,0.2545999999999964,10,0,True,True,True,True,True,False,True,False,True
DCB45A10-FAF5-53E0-AB53-2D42AC9BB090_endless_FEF8E949-11A2-A405-E369-EBD7D749EB6D,DCB45A10-FAF5-53E0-AB53-2D42AC9BB090_endless_FEF8E949-11A2-A405-E369-EBD7D749EB6D.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/DCB45A10-FAF5-53E0-AB53-2D42AC9BB090_endless_FEF8E949-11A2-A405-E369-EBD7D749EB6D.webm,.webm,Endless,DCB45A10-FAF5-53E0-AB53-2D42AC9BB090,FEF8E949-11A2-A405-E369-EBD7D749EB6D,125.922,122.858,3.063999999999993,3.063999999999993,True,False,False,closest_to_median,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/DCB45A10-FAF5-53E0-AB53-2D42AC9BB090_endless_FEF8E949-11A2-A405-E369-EBD7D749EB6D.jpg,0.0,122.858,0.2530000000000001,5,0,True,True,True,True,True,False,True,False,True
0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_topdown_A6A44F57-D5D1-4F7C-3BFB-411924ED2594,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_topdown_A6A44F57-D5D1-4F7C-3BFB-411924ED2594.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_topdown_A6A44F57-D5D1-4F7C-3BFB-411924ED2594.webm,.webm,TopDown,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308,A6A44F57-D5D1-4F7C-3BFB-411924ED2594,126.67,123.3275,3.342500000000001,3.342500000000001,True,False,False,largest_positive_mismatch,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_topdown_A6A44F57-D5D1-4F7C-3BFB-411924ED2594.jpg,0.0,123.3275,0.2609999999999957,25,0,True,True,True,True,True,False,True,False,True
46A9A47E-EDE3-2EF4-2F06-E95AF67D57E1_topdown_FC1C2B2E-92EF-9F7D-B0E2-553796B3B9CA,46A9A47E-EDE3-2EF4-2F06-E95AF67D57E1_topdown_FC1C2B2E-92EF-9F7D-B0E2-553796B3B9CA.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/46A9A47E-EDE3-2EF4-2F06-E95AF67D57E1_topdown_FC1C2B2E-92EF-9F7D-B0E2-553796B3B9CA.webm,.webm,TopDown,46A9A47E-EDE3-2EF4-2F06-E95AF67D57E1,FC1C2B2E-92EF-9F7D-B0E2-553796B3B9CA,126.479,123.1784,3.300600000000003,3.300600000000003,True,False,False,largest_positive_mismatch,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/46A9A47E-EDE3-2EF4-2F06-E95AF67D57E1_topdown_FC1C2B2E-92EF-9F7D-B0E2-553796B3B9CA.jpg,0.0,123.1784,0.2569999999999979,18,0,True,True,True,True,True,False,False,False,False
B3CE5256-6F65-85EB-0078-689BD5CC1B17_topdown_DB908187-61E5-133A-52C3-5674E44AD52C,B3CE5256-6F65-85EB-0078-689BD5CC1B17_topdown_DB908187-61E5-133A-52C3-5674E44AD52C.webm,$NEURAL_BRIDGE_EXTERNAL_ROOT/data/external/AGAIN/cleaned/videos/B3CE5256-6F65-85EB-0078-689BD5CC1B17_topdown_DB908187-61E5-133A-52C3-5674E44AD52C.webm,.webm,TopDown,B3CE5256-6F65-85EB-0078-689BD5CC1B17,DB908187-61E5-133A-52C3-5674E44AD52C,127.701,124.18,3.5209999999999866,3.5209999999999866,False,False,False,largest_positive_mismatch,outputs/again_alignment_offset_diagnosis_20260621_131041/contact_sheets/B3CE5256-6F65-85EB-0078-689BD5CC1B17_topdown_DB908187-61E5-133A-52C3-5674E44AD52C.jpg,0.0,124.18,0.27100000000000035,51,0,True,True,True,True,True,True,True,False,False
