control,control_window_gain,feature_mode,fold,real_window_gain,representation,target,threshold,window_name,window_seconds,window_specific_gain
ar,0.019055726382918192,cortical_pca_64,grouped_0,0.018085498332148564,last,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,-0.0009702280507696281
shuffled,0.027170293005467194,cortical_pca_64,grouped_0,0.018085498332148564,last,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,-0.00908479467331863
random,0.02199172100060809,cortical_pca_64,grouped_0,0.018085498332148564,last,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,-0.0039062226684595247
timestamp,-0.030909564253528643,cortical_pca_64,grouped_0,0.018085498332148564,last,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.04899506258567721
video_time,-0.022074374724641188,cortical_pca_64,grouped_0,0.018085498332148564,last,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.04015987305678975
ar,0.019055726382918192,cortical_pca_64,grouped_0,0.025634084630764775,mean,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.006578358247846583
shuffled,0.019798811260133997,cortical_pca_64,grouped_0,0.025634084630764775,mean,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.005835273370630778
random,0.020410905139982838,cortical_pca_64,grouped_0,0.025634084630764775,mean,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.005223179490781937
timestamp,-0.030909564253528643,cortical_pca_64,grouped_0,0.025634084630764775,mean,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.05654364888429342
video_time,-0.022074374724641188,cortical_pca_64,grouped_0,0.025634084630764775,mean,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.04770845935540596
ar,0.019055726382918192,cortical_pca_64,grouped_0,-0.010777393277979552,slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,-0.029833119660897744
shuffled,0.0201559263772067,cortical_pca_64,grouped_0,-0.010777393277979552,slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,-0.030933319655186253
random,0.024571282079343337,cortical_pca_64,grouped_0,-0.010777393277979552,slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,-0.03534867535732289
timestamp,-0.030909564253528643,cortical_pca_64,grouped_0,-0.010777393277979552,slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.02013217097554909
video_time,-0.022074374724641188,cortical_pca_64,grouped_0,-0.010777393277979552,slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.011296981446661636
ar,0.019055726382918192,cortical_pca_64,grouped_0,0.015904256587543242,mean_last,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,-0.0031514697953749504
shuffled,0.02025159078953187,cortical_pca_64,grouped_0,0.015904256587543242,mean_last,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,-0.0043473342019886285
random,0.005748853916355434,cortical_pca_64,grouped_0,0.015904256587543242,mean_last,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.010155402671187808
timestamp,-0.030909564253528643,cortical_pca_64,grouped_0,0.015904256587543242,mean_last,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.046813820841071885
video_time,-0.022074374724641188,cortical_pca_64,grouped_0,0.015904256587543242,mean_last,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.03797863131218443
ar,0.019055726382918192,cortical_pca_64,grouped_0,0.015519065776587793,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,-0.0035366606063303996
shuffled,0.014960577712946455,cortical_pca_64,grouped_0,0.015519065776587793,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.0005584880636413381
random,0.011762646917042763,cortical_pca_64,grouped_0,0.015519065776587793,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.00375641885954503
timestamp,-0.030909564253528643,cortical_pca_64,grouped_0,0.015519065776587793,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.046428630030116436
video_time,-0.022074374724641188,cortical_pca_64,grouped_0,0.015519065776587793,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.03759344050122898
ar,0.019055726382918192,cortical_pca_64,grouped_0,0.015562446538854968,last_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,-0.003493279844063224
shuffled,0.013155407480145487,cortical_pca_64,grouped_0,0.015562446538854968,last_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.0024070390587094814
random,0.015116918436418492,cortical_pca_64,grouped_0,0.015562446538854968,last_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.00044552810243647656
timestamp,-0.030909564253528643,cortical_pca_64,grouped_0,0.015562446538854968,last_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.04647201079238361
video_time,-0.022074374724641188,cortical_pca_64,grouped_0,0.015562446538854968,last_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.037636821263496156
ar,0.019055726382918192,cortical_pca_64,grouped_0,0.006425382040277483,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,-0.01263034434264071
shuffled,0.012232251330581534,cortical_pca_64,grouped_0,0.006425382040277483,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,-0.005806869290304051
random,-0.008983702700708363,cortical_pca_64,grouped_0,0.006425382040277483,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.015409084740985846
timestamp,-0.030909564253528643,cortical_pca_64,grouped_0,0.006425382040277483,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.037334946293806126
