representation_name,representation_family,split_name,target_name,threshold,task_type,tensor_dir,x_train_path,x_test_path,y_train_path,y_test_path,x_train_shape,x_test_shape,y_train_shape,y_test_shape,feature_width,sequence_exported,sequence_train_path,sequence_test_path,sequence_train_shape,sequence_test_shape,train_row_count,test_row_count,train_video_count,test_video_count,train_event_count,test_event_count,train_positive_rate,test_positive_rate,uses_labels_for_fit,uses_future_features,fit_scope,pca_width,pca_cache_reused,pca_rebuilt,supervised_selection,video_83_included,exclude_video_83_variant,checksum_manifest_path,leakage_contract_path,verification_status,notes
pca_sequence_128_causal_past_2s_mean,causal_sequence_compression,blocked,arousal__future_spike_1_3s,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.05/y_test.npy,"[5989, 128]","[2956, 128]",[5989],[2956],128,true,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.05/X_sequence_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.05/X_sequence_test.npy,"[5989, 3, 128]","[2956, 3, 128]",5989,2956,124,124,1042,392,0.17398564517498016,0.13261163234710693,false,false,train_rows_only,128,true,false,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.05/leakage_contract.json,pass,Sequence tensors exported.
roi_parcel_features,atlas_compression,blocked,arousal__future_spike_1_3s,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_spike_1_3s__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_spike_1_3s__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_spike_1_3s__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_spike_1_3s__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_spike_1_3s__thr_0.05/y_test.npy,"[6237, 75]","[2956, 75]",[6237],[2956],75,false,,,,,6237,2956,124,124,1122,392,0.17989417910575867,0.13261163234710693,false,false,train_rows_only,,,,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_spike_1_3s__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_spike_1_3s__thr_0.05/leakage_contract.json,pass,
topk_vertices_512,supervised_feature_selection,blocked,arousal__future_spike_1_3s,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_spike_1_3s__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_spike_1_3s__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_spike_1_3s__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_spike_1_3s__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_spike_1_3s__thr_0.05/y_test.npy,"[6237, 512]","[2956, 512]",[6237],[2956],512,false,,,,,6237,2956,124,124,1122,392,0.17989417910575867,0.13261163234710693,true,false,train_rows_only,,,,true,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_spike_1_3s__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_spike_1_3s__thr_0.05/leakage_contract.json,pass,
cortical_pca64_delta_frozen_baseline,frozen_reference,blocked,arousal__future_spike_1_3s,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_spike_1_3s__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_spike_1_3s__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_spike_1_3s__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_spike_1_3s__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_spike_1_3s__thr_0.05/y_test.npy,"[6237, 384]","[2956, 384]",[6237],[2956],384,false,,,,,6237,2956,124,124,1122,392,0.17989417910575867,0.13261163234710693,false,false,train_rows_only,64,true,false,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_spike_1_3s__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_spike_1_3s__thr_0.05/leakage_contract.json,pass,
pca_sequence_128_causal_past_2s_mean,causal_sequence_compression,blocked,arousal__future_spike_1_3s,0.075,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.075,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.075/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.075/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.075/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.075/y_test.npy,"[5989, 128]","[2956, 128]",[5989],[2956],128,true,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.075/X_sequence_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.075/X_sequence_test.npy,"[5989, 3, 128]","[2956, 3, 128]",5989,2956,124,124,610,228,0.1018534004688263,0.0771312564611435,false,false,train_rows_only,128,true,false,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.075/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_spike_1_3s__thr_0.075/leakage_contract.json,pass,Sequence tensors exported.
roi_parcel_features,atlas_compression,blocked,arousal__future_spike_1_3s,0.075,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_spike_1_3s__thr_0.075,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_spike_1_3s__thr_0.075/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_spike_1_3s__thr_0.075/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_spike_1_3s__thr_0.075/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_spike_1_3s__thr_0.075/y_test.npy,"[6237, 75]","[2956, 75]",[6237],[2956],75,false,,,,,6237,2956,124,124,665,228,0.10662177205085754,0.0771312564611435,false,false,train_rows_only,,,,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_spike_1_3s__thr_0.075/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_spike_1_3s__thr_0.075/leakage_contract.json,pass,
topk_vertices_512,supervised_feature_selection,blocked,arousal__future_spike_1_3s,0.075,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_spike_1_3s__thr_0.075,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_spike_1_3s__thr_0.075/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_spike_1_3s__thr_0.075/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_spike_1_3s__thr_0.075/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_spike_1_3s__thr_0.075/y_test.npy,"[6237, 512]","[2956, 512]",[6237],[2956],512,false,,,,,6237,2956,124,124,665,228,0.10662177205085754,0.0771312564611435,true,false,train_rows_only,,,,true,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_spike_1_3s__thr_0.075/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/topk_vertices_512/blocked/arousal__future_spike_1_3s__thr_0.075/leakage_contract.json,pass,
cortical_pca64_delta_frozen_baseline,frozen_reference,blocked,arousal__future_spike_1_3s,0.075,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_spike_1_3s__thr_0.075,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_spike_1_3s__thr_0.075/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_spike_1_3s__thr_0.075/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_spike_1_3s__thr_0.075/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_spike_1_3s__thr_0.075/y_test.npy,"[6237, 384]","[2956, 384]",[6237],[2956],384,false,,,,,6237,2956,124,124,665,228,0.10662177205085754,0.0771312564611435,false,false,train_rows_only,64,true,false,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_spike_1_3s__thr_0.075/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/cortical_pca64_delta_frozen_baseline/blocked/arousal__future_spike_1_3s__thr_0.075/leakage_contract.json,pass,
pca_sequence_128_causal_past_2s_mean,causal_sequence_compression,blocked,arousal__future_change_p3s_movement,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_change_p3s_movement__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_change_p3s_movement__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_change_p3s_movement__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_change_p3s_movement__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_change_p3s_movement__thr_0.05/y_test.npy,"[5989, 128]","[2708, 128]",[5989],[2708],128,true,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_change_p3s_movement__thr_0.05/X_sequence_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_change_p3s_movement__thr_0.05/X_sequence_test.npy,"[5989, 3, 128]","[2708, 3, 128]",5989,2708,124,123,1559,668,0.260310560464859,0.2466765195131302,false,false,train_rows_only,128,true,false,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_change_p3s_movement__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/pca_sequence_128_causal_past_2s_mean/blocked/arousal__future_change_p3s_movement__thr_0.05/leakage_contract.json,pass,Sequence tensors exported.
roi_parcel_features,atlas_compression,blocked,arousal__future_change_p3s_movement,0.05,binary,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_change_p3s_movement__thr_0.05,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_change_p3s_movement__thr_0.05/X_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_change_p3s_movement__thr_0.05/X_test.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_change_p3s_movement__thr_0.05/y_train.npy,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_change_p3s_movement__thr_0.05/y_test.npy,"[6237, 75]","[2708, 75]",[6237],[2708],75,false,,,,,6237,2708,124,123,1685,668,0.2701619267463684,0.2466765195131302,false,false,train_rows_only,,,,false,true,false,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_change_p3s_movement__thr_0.05/checksum_manifest.json,/Volumes/onn. Drive/Neural Bridge/tensors/veatic_124_raw_representation_v1/roi_parcel_features/blocked/arousal__future_change_p3s_movement__thr_0.05/leakage_contract.json,pass,
