schema_version,target_name,target_value_column,target_mask_column,target_threshold_train_only,target_threshold_quantile,target_transform,validation_protocol,fold,model_lane,n_train,n_test,train_videos,test_videos,train_event_count,test_event_count,train_positive_rate,test_positive_rate,feature_width,decision_threshold_train_only,uses_future_features,uses_train_only_transform,vjepa_encoding_run,tribe_encoding_run,pca_run,ridge_backend,ridge_alpha,ridge_iterations,mlx_available,pr_auc,roc_auc,f1,balanced_accuracy,precision,recall,accuracy,top_1pct_recall,top_5pct_recall,top_10pct_recall,predicted_positive_rate,predicted_positive_count,delta_mae,delta_mse,delta_pearson
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.15704058010258418,0.9,positive_delta,grouped_video,1,AR_only,186467,46622,796,199,18647,4837,0.10000160886376679,0.10374930290420831,7,0.09608697146177292,False,True,False,False,False,mlx_primal_conjugate_gradient,1.0,37,True,0.1686230095061388,0.6203833904764016,0.2244617205745913,0.5884560892341747,0.132778198334595,0.7252429191647716,0.4800523358071297,0.03638618978705809,0.12776514368410172,0.19206119495555096,0.5666852558877783,26420,0.09831833745235499,0.014775314208819376,0.21676312405680456
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.15642857142856914,0.9,positive_delta,grouped_video,2,AR_only,186470,46619,796,199,18651,4926,0.10002145117177026,0.10566507218087046,7,0.09608390182256699,False,True,False,False,False,mlx_primal_conjugate_gradient,1.0,220,True,0.15943124754629884,0.6171159169670297,0.22817244250848762,0.5889152598797511,0.1354578643139641,0.7231019082419813,0.4830862952873292,0.02781161185546082,0.11266747868453106,0.17986195696305318,0.5640618631888286,26296,0.09960070145139924,0.014995889271934085,0.21362837497538284
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.15625,0.9,positive_delta,grouped_video,3,AR_only,186480,46609,796,199,18656,4981,0.10004290004290005,0.10686777231865091,7,0.09621980786323547,False,True,False,False,False,mlx_primal_conjugate_gradient,1.0,98,True,0.15753704914641103,0.602739776963936,0.2210641971433056,0.5729467831512027,0.1310188286075761,0.7068861674362578,0.4676350061146989,0.02911062035735796,0.11523790403533427,0.1806866091146356,0.5765839215602137,26874,0.09917028738534618,0.014728778290585031,0.20014434702017792
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.16,0.9,positive_delta,grouped_video,4,AR_only,186452,46637,796,199,18646,4307,0.10000429064853153,0.09235156635289576,7,0.09610391408205032,False,True,False,False,False,mlx_primal_conjugate_gradient,1.0,44,True,0.15354341607456096,0.6155382397671376,0.1996700203810941,0.5804604780585898,0.11599759434671478,0.7165080102159276,0.46954135128760427,0.0410958904109589,0.137682841885303,0.1871372184815417,0.5704483564551751,26604,0.09702134897327372,0.014145437856066766,0.2142274141217213
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.16000000000000003,0.9,positive_delta,grouped_video,5,AR_only,186487,46602,796,199,18667,4275,0.10009813016456912,0.09173426033217459,7,0.09559588879346848,False,True,False,False,False,mlx_primal_conjugate_gradient,1.0,28,True,0.14186824237173706,0.5955282383039209,0.1962850568579718,0.5752450905419335,0.11446017423771002,0.6884210526315789,0.48283335479163986,0.04093567251461988,0.11672514619883041,0.16982456140350877,0.5517359769966954,25712,0.09630152140222308,0.014310543233973025,0.18357943309766336
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.153846154,0.9,positive_delta,blocked_temporal_70_30,1,AR_only,162758,70331,995,995,16361,7824,0.10052347657258015,0.11124539676671738,7,0.1334834098815918,False,True,False,False,False,mlx_primal_conjugate_gradient,1.0,30,True,0.2036208938610593,0.6704305620837951,0.19601837672281777,0.5507766279460954,0.2653283875190923,0.1554192229038855,0.8581706502111445,0.037321063394683024,0.13126278118609408,0.20679959100204498,0.06516329925637343,4583,0.09324615217277432,0.014415684078987447,0.22533087892528625
again_dense_2hz_benchmark_v1,arousal_delta_p2rows_train_q90,future_arousal_delta_p2rows,target_mask_arousal_delta_p2rows,0.05885150026254019,0.9,positive_delta,grouped_video,1,AR_only,189793,47438,796,199,18980,4395,0.10000368822875448,0.09264724482482398,7,0.1302847564220429,False,True,False,False,False,mlx_primal_conjugate_gradient,1.0,27,True,0.19704299144733628,0.6615009669537807,0.2925267689590463,0.6119526820772951,0.2840909090909091,0.3014789533560865,0.8648973396854842,0.03162684869169511,0.18748577929465302,0.3037542662116041,0.09831780429191787,4664,0.10499800389052014,0.014368490578409124,0.21979144418103155
again_dense_2hz_benchmark_v1,arousal_delta_p2rows_train_q90,future_arousal_delta_p2rows,target_mask_arousal_delta_p2rows,0.05833333309999999,0.9,positive_delta,grouped_video,2,AR_only,189800,47431,796,199,18980,4815,0.1,0.10151588623474099,7,0.1304704561829567,False,True,False,False,False,mlx_primal_conjugate_gradient,1.0,36,True,0.21701633410211968,0.6528105781183692,0.30905263157894736,0.6146962509607885,0.3133404482390608,0.30488058151609554,0.8616094958993064,0.037383177570093455,0.18359293873312565,0.3063343717549325,0.09877506272269192,4685,0.10488665393428066,0.01448744863681594,0.24734296173201745
again_dense_2hz_benchmark_v1,arousal_delta_p2rows_train_q90,future_arousal_delta_p2rows,target_mask_arousal_delta_p2rows,0.058110430492643694,0.9,positive_delta,grouped_video,3,AR_only,189781,47450,796,199,18979,4908,0.1000047423082395,0.10343519494204426,7,0.13120108842849731,False,True,False,False,False,mlx_primal_conjugate_gradient,1.0,58,True,0.21290516267001275,0.645650185786963,0.30201066885514977,0.6103748395037348,0.30413223140495865,0.29991850040749796,0.8566069546891465,0.0356560717196414,0.1752241238793806,0.2968622656886716,0.10200210748155954,4840,0.10744888440595038,0.01560059082446433,0.21078164947263728
again_dense_2hz_benchmark_v1,arousal_delta_p2rows_train_q90,future_arousal_delta_p2rows,target_mask_arousal_delta_p2rows,0.058823529999999985,0.9,positive_delta,grouped_video,4,AR_only,189784,47447,796,199,18989,4467,0.10005585296969186,0.09414715366619597,7,0.12949482798576356,False,True,False,False,False,mlx_primal_conjugate_gradient,1.0,220,True,0.1991289050808922,0.6657589866143143,0.29293040697033196,0.610581407546557,0.288695652173913,0.2972912469218715,0.8648808143823635,0.031117080814864563,0.18088202372957243,0.3015446608462055,0.09695028136657745,4600,0.10393753278873619,0.014173256271606111,0.21735734757371475
