scope,video_id,time_quartile,rows,spike_prevalence,continuous_mean,continuous_std,positive_count,ar_pr_auc,ar_spearman_continuous,ar_top5_lift
train,__all__,all,162758,0.10052347657258015,0.048830385798311705,0.08878085605007813,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_apex_66C975E5-1923-3B80-D878-B22DD8D38480,q1_earliest,41,0.0,0.04078701074326002,0.04660003662975678,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_apex_66C975E5-1923-3B80-D878-B22DD8D38480,q2,41,0.0,0.02731307641398616,0.026524382010477607,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_apex_66C975E5-1923-3B80-D878-B22DD8D38480,q3,41,0.0,0.03393994652802443,0.034096069846714795,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_apex_66C975E5-1923-3B80-D878-B22DD8D38480,q4_latest,41,0.0,0.00920177379441334,0.01910777026180639,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_endless_F00C622C-374A-4F8D-65A0-CFBDA1922336,q1_earliest,42,0.0,0.03018239832350186,0.048472191304140176,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_endless_F00C622C-374A-4F8D-65A0-CFBDA1922336,q2,41,0.0,0.049128083966490696,0.054985312295061206,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_endless_F00C622C-374A-4F8D-65A0-CFBDA1922336,q3,41,0.0,0.06427790585723592,0.03765666941043119,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_endless_F00C622C-374A-4F8D-65A0-CFBDA1922336,q4_latest,41,0.0,0.012195122496383945,0.02674802750160539,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_fps_58DFAAA7-CA39-6D86-85B8-3D92D16D053D,q1_earliest,42,0.0,0.028469678230716715,0.02415638539106352,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_fps_58DFAAA7-CA39-6D86-85B8-3D92D16D053D,q2,41,0.0,0.023984978012399884,0.01980622942006957,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_fps_58DFAAA7-CA39-6D86-85B8-3D92D16D053D,q3,41,0.0,0.011410226210633792,0.015590489720070837,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_fps_58DFAAA7-CA39-6D86-85B8-3D92D16D053D,q4_latest,41,0.1951219512195122,0.07709398856613695,0.1405321188094946,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_gallery_67455A88-8A7E-677D-72C2-B9E2DE7522E2,q1_earliest,41,0.0,0.0334692818067241,0.03641219919550987,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_gallery_67455A88-8A7E-677D-72C2-B9E2DE7522E2,q2,41,0.0,0.03279079495050388,0.03386153215672587,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_gallery_67455A88-8A7E-677D-72C2-B9E2DE7522E2,q3,40,0.0,0.011048379383282736,0.016158127760068006,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_gallery_67455A88-8A7E-677D-72C2-B9E2DE7522E2,q4_latest,41,0.0,0.018866506649362968,0.03273640694626087,,,,
