candidate,target_type,family,row_count,labeled_row_count,video_count,train_rows,test_rows,test_video_count,positive_prevalence_train,positive_prevalence_test,test_positive_count,test_videos_zero_positives,test_positives_per_video_mean,test_positives_per_video_median,train_distribution_mean,test_distribution_mean,train_distribution_std,test_distribution_std,target_variance_test,threshold_or_source_train_q90,onset_current_gate_threshold,onset_trailing_2s_q60_threshold,onset_slope_q70_threshold,threshold_stability_iqr_across_train_videos,corr_spearman_current_arousal_test,corr_spearman_previous_row_arousal_test,corr_spearman_trailing_2s_test,corr_spearman_recent_slope_test,best_simple_ar_baseline,best_simple_ar_metric,ar_dominance_score,history_rows_used,target_rows_used,washout_gap_rows,washout_gap_seconds,target_window_overlap,future_leakage_suspected
future_arousal_max_delta_rows_4_10,continuous,washout_gap_future_movement,229024,229024,995,159923,69101,995,,,,,,,0.05728254372590898,0.05586081157908194,0.1344480404496147,0.15000016706411967,0.02250005011926381,,,,,0.09211468159830212,-0.170312858094836,-0.1917461487037101,-0.1943779718196049,0.17556851078279698,train_only_video_mean_arousal,0.23106629641497975,0.23106629641497975,"[0, -1, -2, -4]","[4, 5, 6, 7, 8, 9, 10]","[1, 2, 3]",1.5,False,False
future_arousal_max_delta_rows_4_10_train_q90,binary,washout_gap_future_movement,229024,229024,995,159923,69101,995,0.10001688312500391,0.11467272543089102,7924.0,384.0,7.963819095477387,5.0,0.10001688312500391,0.11467272543089102,0.3000225095138084,0.318626570569911,0.10152289147314249,0.21428571399999996,,,,0.1396342115266486,-0.170312858094836,-0.1917461487037101,-0.1943779718196049,0.17556851078279698,previous_row_arousal,0.20064833762607445,0.08597561219518343,"[0, -1, -2, -4]","[4, 5, 6, 7, 8, 9, 10]","[1, 2, 3]",1.5,False,False
future_arousal_max_delta_rows_6_12,continuous,washout_gap_future_movement,227027,227027,995,158643,68384,995,,,,,,,0.06104734898435878,0.05827145447340274,0.15084743052420554,0.17040368756595412,0.0290374167360753,,,,,0.1046410409306676,-0.20550109835805963,-0.22168902658268666,-0.22308086028304402,0.13864415934311114,train_only_video_mean_arousal,0.24035180851633176,0.24035180851633176,"[0, -1, -2, -4]","[6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5]",2.5,False,False
future_arousal_max_delta_rows_6_12_train_q90,binary,washout_gap_future_movement,227027,227027,995,158643,68384,995,0.1000044124228614,0.1180539307440337,8073.0,392.0,8.11356783919598,5.0,0.1000044124228614,0.1180539307440337,0.30000588314034715,0.3226719699321845,0.10411720017991659,0.23877698231930605,,,,0.15443875667043327,-0.20550109835805963,-0.22168902658268666,-0.22308086028304402,0.13864415934311114,previous_row_arousal,0.21807538859262587,0.10002145784859218,"[0, -1, -2, -4]","[6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5]",2.5,False,False
future_arousal_abs_delta_rows_4_10,continuous,washout_gap_abs_movement,229024,229024,995,159923,69101,995,,,,,,,0.11734507932834416,0.1333996804826291,0.13076019625226026,0.15037668719241223,0.022613148050964597,,,,,0.07458483663844215,-0.09473467875163329,-0.09506818595602147,-0.09969217109170028,0.03655155829754474,per_video_train_base_rate,0.24986180300013347,0.24986180300013347,"[0, -1, -2, -4]","[4, 5, 6, 7, 8, 9, 10]","[1, 2, 3]",1.5,False,False
future_arousal_abs_delta_rows_4_10_train_q90,binary,washout_gap_abs_movement,229024,229024,995,159923,69101,995,0.10034829261582136,0.1311992590555853,9066.0,402.0,9.111557788944724,5.0,0.10034829261582136,0.1311992590555853,0.3004638294119791,0.3376181474370871,0.1139860134788507,0.28571428600000004,,,,0.19047619000000005,-0.09473467875163329,-0.09506818595602147,-0.09969217109170028,0.03655155829754474,per_video_train_base_rate,0.27073096862696017,0.13953170957137487,"[0, -1, -2, -4]","[4, 5, 6, 7, 8, 9, 10]","[1, 2, 3]",1.5,False,False
future_arousal_abs_delta_rows_6_12,continuous,washout_gap_abs_movement,227027,227027,995,158643,68384,995,,,,,,,0.1313403690183944,0.15007461093085336,0.13797286056170882,0.1590814550502139,0.02530690934089323,,,,,0.07619140889032389,-0.10348329876256344,-0.10470894336640035,-0.1091983197229187,0.03484054632123253,per_video_train_base_rate,0.246748927738849,0.246748927738849,"[0, -1, -2, -4]","[6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5]",2.5,False,False
future_arousal_abs_delta_rows_6_12_train_q90,binary,washout_gap_abs_movement,227027,227027,995,158643,68384,995,0.1000044124228614,0.13487072999532054,9223.0,410.0,9.26934673366834,4.0,0.1000044124228614,0.13487072999532054,0.30000588314034715,0.3415854449268146,0.11668061618584986,0.31647539727453133,,,,0.1970661708340674,-0.10348329876256344,-0.10470894336640035,-0.1091983197229187,0.03484054632123253,per_video_train_base_rate,0.27772865623885173,0.1428579262435312,"[0, -1, -2, -4]","[6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5]",2.5,False,False
future_onset_spike_rows_4_10_train_q90_current_q50,binary,onset_surprise_spike,229024,229024,995,159923,69101,995,0.04616596737179768,0.041171618355740146,2845.0,624.0,2.85929648241206,0.0,0.04616596737179768,0.041171618355740146,0.20984439670485314,0.19868698044338343,0.03947651619770943,0.21428571399999996,0.389473684,0.4754519116870809,0.020442723155382266,0.1396342115266486,-0.170312858094836,-0.1917461487037101,-0.1943779718196049,0.17556851078279698,current_arousal,0.18272420364877115,0.141552585293031,"[0, -1, -2, -4]","[4, 5, 6, 7, 8, 9, 10]","[1, 2, 3]",1.5,False,False
future_onset_spike_rows_4_10_train_q90_current_q60,binary,onset_surprise_spike,229024,229024,995,159923,69101,995,0.05105582061367033,0.04803114281993025,3319.0,571.0,3.335678391959799,0.0,0.05105582061367033,0.04803114281993025,0.2201116166746659,0.21383206527399418,0.0457241521393417,0.21428571399999996,0.4825749672830847,0.4754519116870809,0.020442723155382266,0.1396342115266486,-0.170312858094836,-0.1917461487037101,-0.1943779718196049,0.17556851078279698,current_arousal,0.17689434982838503,0.12886320700845477,"[0, -1, -2, -4]","[4, 5, 6, 7, 8, 9, 10]","[1, 2, 3]",1.5,False,False
