protocol,fold,seed,split,score_path,score_file_exists,expected_score_checksum,actual_score_checksum,score_checksum_match,row_id_digest,matched_lane_count,all_lanes_use_manifest_checksum,checkpoint_restore_pass,eval_mode_scoring_pass,baseline_source
blocked_temporal_70_30,1,20260625,train,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260625__regression_plus_binary__train.csv.gz,True,80b73ff09d687b0403448d5d4b12d354,80b73ff09d687b0403448d5d4b12d354,True,c86521f8bd3b3a8ef2e9d1d0188eb3d8,7,True,True,True,reused_existing_seed_specific_frozen_ar_score_cache
blocked_temporal_70_30,1,20260625,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260625__regression_plus_binary__heldout_test.csv.gz,True,4c29fe54a12048766664509ef4a8eeaf,4c29fe54a12048766664509ef4a8eeaf,True,3e0420210fbd993d3113681c7d24556e,7,True,True,True,reused_existing_seed_specific_frozen_ar_score_cache
blocked_temporal_70_30,1,20260626,train,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260626__regression_plus_binary__train.csv.gz,True,8c145fe32821998ff8d171e00b30b504,8c145fe32821998ff8d171e00b30b504,True,c86521f8bd3b3a8ef2e9d1d0188eb3d8,7,True,True,True,reused_existing_seed_specific_frozen_ar_score_cache
blocked_temporal_70_30,1,20260626,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260626__regression_plus_binary__heldout_test.csv.gz,True,d64261eb354b770bd0e2a65efb381840,d64261eb354b770bd0e2a65efb381840,True,3e0420210fbd993d3113681c7d24556e,7,True,True,True,reused_existing_seed_specific_frozen_ar_score_cache
blocked_temporal_70_30,1,20260627,train,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260627__regression_plus_binary__train.csv.gz,True,1f3a5ab9ef9ee64f210057d3e89fcdb7,1f3a5ab9ef9ee64f210057d3e89fcdb7,True,c86521f8bd3b3a8ef2e9d1d0188eb3d8,7,True,True,True,reused_existing_seed_specific_frozen_ar_score_cache
blocked_temporal_70_30,1,20260627,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260627__regression_plus_binary__heldout_test.csv.gz,True,718b7d93a3fdf86db53ce0f5e5a3e6a6,718b7d93a3fdf86db53ce0f5e5a3e6a6,True,3e0420210fbd993d3113681c7d24556e,7,True,True,True,reused_existing_seed_specific_frozen_ar_score_cache
blocked_temporal_70_30,1,20260628,train,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260628__regression_plus_binary__train.csv.gz,True,469b0d5f6203cbf3e81aebdb3d034f77,469b0d5f6203cbf3e81aebdb3d034f77,True,c86521f8bd3b3a8ef2e9d1d0188eb3d8,7,True,True,True,newly_trained_ar_only_baseline_for_confirmation_seed
blocked_temporal_70_30,1,20260628,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260628__regression_plus_binary__heldout_test.csv.gz,True,dd69c2c5d75ca798793942d99307f520,dd69c2c5d75ca798793942d99307f520,True,3e0420210fbd993d3113681c7d24556e,7,True,True,True,newly_trained_ar_only_baseline_for_confirmation_seed
blocked_temporal_70_30,1,20260629,train,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260629__regression_plus_binary__train.csv.gz,True,66fcdffc6292d655e222aecf43374860,66fcdffc6292d655e222aecf43374860,True,c86521f8bd3b3a8ef2e9d1d0188eb3d8,7,True,True,True,newly_trained_ar_only_baseline_for_confirmation_seed
blocked_temporal_70_30,1,20260629,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260629__regression_plus_binary__heldout_test.csv.gz,True,50a6315cfcfb9dc8f2be7213dc4b9fc6,50a6315cfcfb9dc8f2be7213dc4b9fc6,True,3e0420210fbd993d3113681c7d24556e,7,True,True,True,newly_trained_ar_only_baseline_for_confirmation_seed
blocked_temporal_70_30,1,20260630,train,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260630__regression_plus_binary__train.csv.gz,True,12805517c4fda0f1fc7cf722217b359f,12805517c4fda0f1fc7cf722217b359f,True,c86521f8bd3b3a8ef2e9d1d0188eb3d8,7,True,True,True,newly_trained_ar_only_baseline_for_confirmation_seed
blocked_temporal_70_30,1,20260630,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260630__regression_plus_binary__heldout_test.csv.gz,True,4e0b54fe6c5df80ae70a0233cce6134d,4e0b54fe6c5df80ae70a0233cce6134d,True,3e0420210fbd993d3113681c7d24556e,7,True,True,True,newly_trained_ar_only_baseline_for_confirmation_seed
blocked_temporal_70_30,1,20260631,train,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260631__regression_plus_binary__train.csv.gz,True,f13c18e25b919e1e418a44cab0797814,f13c18e25b919e1e418a44cab0797814,True,c86521f8bd3b3a8ef2e9d1d0188eb3d8,7,True,True,True,newly_trained_ar_only_baseline_for_confirmation_seed
blocked_temporal_70_30,1,20260631,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260631__regression_plus_binary__heldout_test.csv.gz,True,00865b1413466d560e463675ec54657d,00865b1413466d560e463675ec54657d,True,3e0420210fbd993d3113681c7d24556e,7,True,True,True,newly_trained_ar_only_baseline_for_confirmation_seed
blocked_temporal_70_30,1,20260632,train,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260632__regression_plus_binary__train.csv.gz,True,024d41f1ae404ee6d37a4fb3f890c609,024d41f1ae404ee6d37a4fb3f890c609,True,c86521f8bd3b3a8ef2e9d1d0188eb3d8,7,True,True,True,newly_trained_ar_only_baseline_for_confirmation_seed
blocked_temporal_70_30,1,20260632,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260632__regression_plus_binary__heldout_test.csv.gz,True,4158127e202acb3187fa71ae72ffdc88,4158127e202acb3187fa71ae72ffdc88,True,3e0420210fbd993d3113681c7d24556e,7,True,True,True,newly_trained_ar_only_baseline_for_confirmation_seed
blocked_temporal_70_30,1,20260633,train,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260633__regression_plus_binary__train.csv.gz,True,2f26f6850b289cd0c634964a393904e9,2f26f6850b289cd0c634964a393904e9,True,c86521f8bd3b3a8ef2e9d1d0188eb3d8,7,True,True,True,newly_trained_ar_only_baseline_for_confirmation_seed
blocked_temporal_70_30,1,20260633,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260633__regression_plus_binary__heldout_test.csv.gz,True,2d9fc8dd9cf5c2c7a00ee802c3941f05,2d9fc8dd9cf5c2c7a00ee802c3941f05,True,3e0420210fbd993d3113681c7d24556e,7,True,True,True,newly_trained_ar_only_baseline_for_confirmation_seed
blocked_temporal_70_30,1,20260634,train,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260634__regression_plus_binary__train.csv.gz,True,7bf955ef4fa1bd87ea1e132881c9a219,7bf955ef4fa1bd87ea1e132881c9a219,True,c86521f8bd3b3a8ef2e9d1d0188eb3d8,7,True,True,True,newly_trained_ar_only_baseline_for_confirmation_seed
blocked_temporal_70_30,1,20260634,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__seed20260634__regression_plus_binary__heldout_test.csv.gz,True,9aa6d38fa842f5c831191f64e5c38368,9aa6d38fa842f5c831191f64e5c38368,True,3e0420210fbd993d3113681c7d24556e,7,True,True,True,newly_trained_ar_only_baseline_for_confirmation_seed
grouped_video,1,20260625,train,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260625__regression_plus_binary__train.csv.gz,True,cb124dcaefd0cee6e0d18cbfb8aa9e92,cb124dcaefd0cee6e0d18cbfb8aa9e92,True,9fde37f0da57d7e17bf5e2923a753a72,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260625,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260625__regression_plus_binary__heldout_test.csv.gz,True,9b5df49afa0ba4944002b0c9e7d2a167,9b5df49afa0ba4944002b0c9e7d2a167,True,05a4561f5022b7ef5ba32f49e45c9159,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260626,train,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260626__regression_plus_binary__train.csv.gz,True,3f6c7dcfac308720b0a250430ac5ec6f,3f6c7dcfac308720b0a250430ac5ec6f,True,9fde37f0da57d7e17bf5e2923a753a72,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260626,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260626__regression_plus_binary__heldout_test.csv.gz,True,da750807006686a308984f1b082efb30,da750807006686a308984f1b082efb30,True,05a4561f5022b7ef5ba32f49e45c9159,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260627,train,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260627__regression_plus_binary__train.csv.gz,True,b84866d0f9537b0843ee42402b0868f9,b84866d0f9537b0843ee42402b0868f9,True,9fde37f0da57d7e17bf5e2923a753a72,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260627,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260627__regression_plus_binary__heldout_test.csv.gz,True,07a2297f3447160928e9340932789e2a,07a2297f3447160928e9340932789e2a,True,05a4561f5022b7ef5ba32f49e45c9159,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260628,train,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260628__regression_plus_binary__train.csv.gz,True,567ac5e1d018265e2792cdcfcfbc612a,567ac5e1d018265e2792cdcfcfbc612a,True,9fde37f0da57d7e17bf5e2923a753a72,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260628,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260628__regression_plus_binary__heldout_test.csv.gz,True,fdc70e9d062a6833b190f888eb100889,fdc70e9d062a6833b190f888eb100889,True,05a4561f5022b7ef5ba32f49e45c9159,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260629,train,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260629__regression_plus_binary__train.csv.gz,True,f664d0fc77cd422cac753c609715c7fd,f664d0fc77cd422cac753c609715c7fd,True,9fde37f0da57d7e17bf5e2923a753a72,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260629,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260629__regression_plus_binary__heldout_test.csv.gz,True,e81f37ea780cf2371266b915a863dbc8,e81f37ea780cf2371266b915a863dbc8,True,05a4561f5022b7ef5ba32f49e45c9159,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260630,train,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260630__regression_plus_binary__train.csv.gz,True,bdd1a5d408f0fb453b4fce6f7f30aa6e,bdd1a5d408f0fb453b4fce6f7f30aa6e,True,9fde37f0da57d7e17bf5e2923a753a72,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260630,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260630__regression_plus_binary__heldout_test.csv.gz,True,b2d4318279f7de615efeed84a043393c,b2d4318279f7de615efeed84a043393c,True,05a4561f5022b7ef5ba32f49e45c9159,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260631,train,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260631__regression_plus_binary__train.csv.gz,True,b9cc7075eb87cbb49557d83f7baa3ed4,b9cc7075eb87cbb49557d83f7baa3ed4,True,9fde37f0da57d7e17bf5e2923a753a72,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260631,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260631__regression_plus_binary__heldout_test.csv.gz,True,1eec1f15a6337d020f24ceff30b602cf,1eec1f15a6337d020f24ceff30b602cf,True,05a4561f5022b7ef5ba32f49e45c9159,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260632,train,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260632__regression_plus_binary__train.csv.gz,True,7e632732e6d44c4338687625396b2f81,7e632732e6d44c4338687625396b2f81,True,9fde37f0da57d7e17bf5e2923a753a72,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260632,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260632__regression_plus_binary__heldout_test.csv.gz,True,65251dfb2dc5a12b97e4220f57c59757,65251dfb2dc5a12b97e4220f57c59757,True,05a4561f5022b7ef5ba32f49e45c9159,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260633,train,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260633__regression_plus_binary__train.csv.gz,True,194f88c8a9fe7988b4b4bb99f178df01,194f88c8a9fe7988b4b4bb99f178df01,True,9fde37f0da57d7e17bf5e2923a753a72,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260633,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260633__regression_plus_binary__heldout_test.csv.gz,True,1ea8c8d94a0516d3f3c423102655d923,1ea8c8d94a0516d3f3c423102655d923,True,05a4561f5022b7ef5ba32f49e45c9159,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260634,train,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260634__regression_plus_binary__train.csv.gz,True,e570f098c37d12dd106bd15e2621e574,e570f098c37d12dd106bd15e2621e574,True,9fde37f0da57d7e17bf5e2923a753a72,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,1,20260634,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__seed20260634__regression_plus_binary__heldout_test.csv.gz,True,6cedca803594ef1e85f4ef1bb2b09ca0,6cedca803594ef1e85f4ef1bb2b09ca0,True,05a4561f5022b7ef5ba32f49e45c9159,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,2,20260625,train,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold2__seed20260625__regression_plus_binary__train.csv.gz,True,51d752ba1a830226ab2d76da50a0c585,51d752ba1a830226ab2d76da50a0c585,True,2707bb020eaadee9e0e8390160d3fd5b,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,2,20260625,heldout_test,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold2__seed20260625__regression_plus_binary__heldout_test.csv.gz,True,8e3b31f0231d6ad99a669a0ee8883835,8e3b31f0231d6ad99a669a0ee8883835,True,fd0e2da0e40c08f65a4483a16618af93,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
grouped_video,2,20260626,train,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/frozen_ar_scores/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold2__seed20260626__regression_plus_binary__train.csv.gz,True,d580ecd1500c6bbfc80dbf2107519e64,d580ecd1500c6bbfc80dbf2107519e64,True,2707bb020eaadee9e0e8390160d3fd5b,7,True,True,True,newly_trained_grouped_fold_seed_ar_only_baseline
