best_lag_seconds,event_count,feature_mode,max_correlation,reliable,target,threshold,video_id
-1,1,cortical_pca_64,-0.5631987802718069,False,arousal__future_spike_1_3s,0.05,0
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,1
1,3,cortical_pca_64,0.8763642060294823,True,arousal__future_spike_1_3s,0.05,2
2,5,cortical_pca_64,0.39424734979704273,True,arousal__future_spike_1_3s,0.05,3
4,3,cortical_pca_64,0.872763656565849,True,arousal__future_spike_1_3s,0.05,4
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,5
-3,5,cortical_pca_64,-0.9395343282107811,False,arousal__future_spike_1_3s,0.05,6
-8,5,cortical_pca_64,-0.7445767835293702,True,arousal__future_spike_1_3s,0.05,7
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,8
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,9
1,4,cortical_pca_64,0.7627366064373944,True,arousal__future_spike_1_3s,0.05,10
-10,9,cortical_pca_64,0.6772767046422998,True,arousal__future_spike_1_3s,0.05,11
-9,5,cortical_pca_64,-0.6553982901525569,True,arousal__future_spike_1_3s,0.05,13
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,14
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,15
5,1,cortical_pca_64,-0.366747966874655,False,arousal__future_spike_1_3s,0.05,16
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,17
10,6,cortical_pca_64,-0.8798262764236374,True,arousal__future_spike_1_3s,0.05,18
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,21
2,2,cortical_pca_64,0.7094447179025254,False,arousal__future_spike_1_3s,0.05,22
-8,10,cortical_pca_64,-0.6418372817910398,True,arousal__future_spike_1_3s,0.05,23
3,1,cortical_pca_64,0.3070160381070313,False,arousal__future_spike_1_3s,0.05,24
2,4,cortical_pca_64,0.7109676729503399,True,arousal__future_spike_1_3s,0.05,25
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,26
5,1,cortical_pca_64,0.4636305788303033,False,arousal__future_spike_1_3s,0.05,27
9,1,cortical_pca_64,0.9061469225975053,False,arousal__future_spike_1_3s,0.05,28
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,29
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,30
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,31
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,32
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,33
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,34
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,35
9,3,cortical_pca_64,0.9043969040323618,True,arousal__future_spike_1_3s,0.05,36
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,37
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,38
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,39
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,40
2,13,cortical_pca_64,0.935973232608208,True,arousal__future_spike_1_3s,0.05,41
10,1,cortical_pca_64,-0.3043853399002262,False,arousal__future_spike_1_3s,0.05,42
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,43
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,44
-9,7,cortical_pca_64,0.9055255249822025,True,arousal__future_spike_1_3s,0.05,45
-4,2,cortical_pca_64,-0.40167201709260547,False,arousal__future_spike_1_3s,0.05,46
10,1,cortical_pca_64,-0.6034931141588445,False,arousal__future_spike_1_3s,0.05,47
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,48
-5,11,cortical_pca_64,-0.8963222499087787,True,arousal__future_spike_1_3s,0.05,49
10,4,cortical_pca_64,-0.749249229187082,True,arousal__future_spike_1_3s,0.05,50
-6,2,cortical_pca_64,-0.585214532541547,False,arousal__future_spike_1_3s,0.05,51
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,53
